GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000169885	1	1846266	1848735	10	3	584	-2.6507	0.99598	CALML6
ENSG00000178821	1	1849029	1850712	6	2	584	-2.8363	0.99772	TMEM52
ENSG00000142609	1	1853396	1935276	229	17	584	-2.6735	0.99625	C1orf222
ENSG00000187730	1	1950780	1962192	13	2	584	-0.045271	0.51805	GABRD
ENSG00000067606	1	1981909	2116834	275	19	584	-0.20362	0.58067	PRKCZ
ENSG00000162585	1	2115903	2144159	4	1	584	0.62002	0.26762	C1orf86
ENSG00000203301	1	2143360	2145620	1	1	584	0.61796	0.2683	AL590822.1
ENSG00000157933	1	2160134	2241558	139	23	584	-0.82556	0.79547	SKI
ENSG00000116151	1	2252692	2323146	212	27	584	-2.1571	0.9845	MORN1
ENSG00000269753	1	2258581	2259042	1	1	584	0.20788	0.41766	AL589739.1
ENSG00000157916	1	2323267	2336883	29	7	584	0.051233	0.47957	RER1
ENSG00000157911	1	2336236	2345236	21	6	584	0.041459	0.48347	PEX10
ENSG00000149527	1	2357419	2436969	151	22	584	-2	0.97725	PLCH2
ENSG00000157881	1	2439972	2458039	27	2	584	0.63966	0.2612	PANK4
ENSG00000157873	1	2487078	2496821	14	2	584	1.2892	0.098668	TNFRSF14
ENSG00000157870	1	2517930	2522908	5	2	584	1.3229	0.092935	FAM213B
ENSG00000142606	1	2522078	2564481	117	2	584	1.6483	0.04965	MMEL1
ENSG00000215912	1	2567415	2718286	94	5	584	1.3679	0.085678	TTC34
ENSG00000169717	1	2938046	2939465	5	2	584	1.6026	0.05451	ACTRT2
ENSG00000142611	1	2985732	3355185	783	110	584	0.8267	0.2042	PRDM16
ENSG00000130762	1	3370990	3397677	31	4	584	-0.2881	0.61336	ARHGEF16
ENSG00000162591	1	3406484	3528059	169	31	584	-0.17932	0.57116	MEGF6
ENSG00000158109	1	3541566	3546691	4	1	584	-1.6969	0.95515	TPRG1L
ENSG00000116213	1	3547331	3569325	18	3	584	-1.9956	0.97701	WRAP73
ENSG00000078900	1	3569084	3652765	127	21	584	-1.3479	0.91115	TP73
ENSG00000162592	1	3668962	3688209	28	7	584	-0.38649	0.65043	CCDC27
ENSG00000130764	1	3696784	3713068	38	6	584	1.3294	0.091859	LRRC47
ENSG00000116198	1	3728645	3773778	242	15	584	-0.21082	0.58348	CEP104
ENSG00000169598	1	3773845	3801993	118	12	584	1.3064	0.095704	DFFB
ENSG00000198912	1	3805689	3816857	36	4	584	0.95072	0.17087	C1orf174
ENSG00000196581	1	4714792	4852594	474	71	584	-1.4092	0.92061	AJAP1
ENSG00000131697	1	5922871	6052533	189	5	584	-2.0314	0.97889	NPHP4
ENSG00000069424	1	6051526	6161253	147	23	584	-2.3438	0.99045	KCNAB2
ENSG00000268332	1	6100630	6101399	2	1	584	0.27924	0.39003	AL035406.1
ENSG00000116254	1	6161853	6240183	202	23	584	-0.87255	0.80855	CHD5
ENSG00000116251	1	6241329	6269449	39	5	584	0.1979	0.42156	RPL22
ENSG00000158286	1	6265535	6281359	29	2	584	0.068741	0.4726	RNF207
ENSG00000116237	1	6281253	6296032	26	3	584	1.6192	0.052703	ICMT
ENSG00000173673	1	6304252	6305638	4	1	584	-0.40515	0.65732	HES3
ENSG00000158292	1	6307406	6321035	28	1	584	-0.62275	0.73328	GPR153
ENSG00000097021	1	6324329	6454451	376	23	584	0.22406	0.41136	ACOT7
ENSG00000069812	1	6472478	6484730	29	4	584	0.47514	0.31734	HES2
ENSG00000187017	1	6484848	6521430	56	6	584	1.2639	0.10314	ESPN
ENSG00000215788	1	6521211	6526255	5	1	584	2.7142	0.0033214	TNFRSF25
ENSG00000171680	1	6526152	6580121	91	11	584	1.0436	0.14833	PLEKHG5
ENSG00000162408	1	6581407	6614595	67	3	584	0.72101	0.23545	NOL9
ENSG00000173662	1	6615241	6639817	29	4	584	0.14861	0.44093	TAS1R1
ENSG00000204859	1	6640061	6649340	9	3	584	-0.0075267	0.503	ZBTB48
ENSG00000162413	1	6650784	6674667	35	5	584	0.60633	0.27215	KLHL21
ENSG00000116273	1	6673745	6684093	20	4	584	0.76771	0.22133	PHF13
ENSG00000041988	1	6684926	6695646	24	3	584	0.73176	0.23216	THAP3
ENSG00000007923	1	6694228	6761984	94	7	584	1.1383	0.12751	DNAJC11
ENSG00000171735	1	6845384	7829766	1856	156	584	-1.6665	0.95219	CAMTA1
ENSG00000049245	1	7831329	7841492	26	6	584	-0.34394	0.63455	VAMP3
ENSG00000049246	1	7844380	7905237	190	18	584	-1.1628	0.87755	PER3
ENSG00000049247	1	7903143	7913572	32	8	584	-0.72105	0.76456	UTS2
ENSG00000049249	1	7979907	8000926	35	4	584	2.3954	0.0083015	TNFRSF9
ENSG00000116288	1	8014351	8045565	43	5	584	1.5483	0.060769	PARK7
ENSG00000116285	1	8064464	8086368	21	4	584	1.8667	0.030975	ERRFI1
ENSG00000162426	1	8377886	8404227	54	7	584	-0.66162	0.74589	SLC45A1
ENSG00000142599	1	8412457	8877702	310	17	584	0.19168	0.424	RERE
ENSG00000074800	1	8921061	8939308	14	2	584	0.88072	0.18923	ENO1
ENSG00000131686	1	9005926	9035151	78	15	584	-0.089653	0.53572	CA6
ENSG00000197241	1	9063359	9086404	39	10	584	-3.177	0.99926	SLC2A7
ENSG00000142583	1	9095166	9148537	165	21	584	-0.227	0.58979	SLC2A5
ENSG00000180758	1	9160364	9189229	48	6	584	-1.4226	0.92257	GPR157
ENSG00000049239	1	9294834	9331396	62	8	584	-0.19025	0.57544	H6PD
ENSG00000171621	1	9352939	9429591	181	24	584	-1.5966	0.94482	SPSB1
ENSG00000171612	1	9599541	9645237	35	2	584	0.017868	0.49287	SLC25A33
ENSG00000188807	1	9648932	9674935	28	3	584	0.94755	0.17168	TMEM201
ENSG00000171608	1	9711790	9789172	109	16	584	3.0829	0.0010249	PIK3CD
ENSG00000179840	1	9712668	9714644	4	2	584	0.11104	0.45579	C1orf200
ENSG00000171603	1	9789084	9884584	93	6	584	2.4535	0.007074	CLSTN1
ENSG00000178585	1	9908334	9970394	58	6	584	2.2464	0.01234	CTNNBIP1
ENSG00000162441	1	9982173	10003465	7	2	584	2.7502	0.0029777	LZIC
ENSG00000173614	1	10003486	10045559	14	3	584	1.7045	0.044143	NMNAT1
ENSG00000162444	1	10057264	10076078	13	2	584	1.587	0.056261	RBP7
ENSG00000130939	1	10092890	10241297	126	16	584	2.0285	0.021256	UBE4B
ENSG00000054523	1	10270863	10441661	344	11	584	1.123	0.13073	KIF1B
ENSG00000142657	1	10458649	10480201	38	5	584	1.472	0.070505	PGD
ENSG00000251503	1	10490159	10512210	62	6	584	0.082091	0.46729	APITD1-CORT
ENSG00000175279	1	10490159	10512210	62	6	584	0.082091	0.46729	APITD1
ENSG00000241563	1	10509776	10511959	4	2	584	0.46322	0.3216	CORT
ENSG00000160049	1	10516579	10532583	27	6	584	-0.50409	0.6929	DFFA
ENSG00000142655	1	10532345	10690815	345	25	584	-0.065907	0.52627	PEX14
ENSG00000130940	1	10696661	10856707	230	45	584	0.23952	0.40535	CASZ1
ENSG00000175262	1	11006528	11042094	60	5	584	0.38044	0.35181	C1orf127
ENSG00000120948	1	11072414	11085796	26	2	584	0.32637	0.37207	TARDBP
ENSG00000009724	1	11086580	11107290	35	4	584	0.21439	0.41512	MASP2
ENSG00000116649	1	11114641	11120081	5	1	584	0.77812	0.21825	SRM
ENSG00000171824	1	11126675	11159938	61	1	584	0.80798	0.20955	EXOSC10
ENSG00000198793	1	11166592	11322564	271	7	584	0.34525	0.36495	MTOR
ENSG00000171819	1	11249398	11256038	10	1	584	0.60359	0.27306	ANGPTL7
ENSG00000120942	1	11333263	11356106	21	2	584	0.91103	0.18114	UBIAD1
ENSG00000204624	1	11539223	11597641	133	11	584	-0.81572	0.79267	PTCHD2
ENSG00000116661	1	11708424	11715842	2	1	584	1.2292	0.10949	FBXO2
ENSG00000132879	1	11714432	11723384	6	2	584	0.98536	0.16222	FBXO44
ENSG00000116663	1	11724181	11734411	14	2	584	-0.295	0.616	FBXO6
ENSG00000116670	1	11734537	11751707	34	6	584	0.11412	0.45457	MAD2L2
ENSG00000162490	1	11751786	11785914	25	5	584	-0.04213	0.5168	DRAXIN
ENSG00000177674	1	11796141	11814859	33	4	584	-1.0409	0.85104	AGTRAP
ENSG00000215910	1	11821844	11849642	128	7	584	0.0030372	0.49879	C1orf167
ENSG00000177000	1	11845780	11866977	54	5	584	-0.37042	0.64447	MTHFR
ENSG00000011021	1	11866207	11903201	114	5	584	-0.82486	0.79527	CLCN6
ENSG00000175206	1	11905766	11908402	3	1	584	-1.3334	0.9088	NPPA
ENSG00000120937	1	11917521	11918988	1	1	584	-0.86059	0.80527	NPPB
ENSG00000116685	1	11979648	11986485	18	5	584	-0.24504	0.59679	KIAA2013
ENSG00000083444	1	11994262	12035595	102	9	584	-1.912	0.97206	PLOD1
ENSG00000116688	1	12040238	12073571	84	6	584	-1.2554	0.89533	MFN2
ENSG00000116691	1	12079523	12092102	6	1	584	-0.25389	0.60021	MIIP
ENSG00000120949	1	12123434	12204264	143	21	584	1.2287	0.1096	TNFRSF8
ENSG00000028137	1	12227060	12269285	59	4	584	0.44948	0.32654	TNFRSF1B
ENSG00000048707	1	12290124	12572099	117	9	584	-2.9528	0.99843	VPS13D
ENSG00000162496	1	12627939	12677737	131	20	584	-2.766	0.99716	DHRS3
ENSG00000204518	1	12704566	12727097	2	1	584	-0.64841	0.74164	AADACL4
ENSG00000188984	1	12776118	12788726	23	5	584	-0.0016547	0.50066	AADACL3
ENSG00000157330	1	12806163	12823847	27	4	584	-2.3669	0.99103	C1orf158
ENSG00000116726	1	12834984	12838049	4	1	584	-0.16019	0.56363	PRAMEF12
ENSG00000116721	1	12851546	12856777	6	1	584	0.65383	0.25661	PRAMEF1
ENSG00000120952	1	12916941	12921764	2	1	584	0.19975	0.42084	PRAMEF2
ENSG00000162494	1	13801445	13840543	64	15	584	2.1525	0.01568	LRRC38
ENSG00000162493	1	13909960	13944452	91	19	584	1.4521	0.073231	PDPN
ENSG00000116731	1	14026693	14151574	235	18	584	-1.4474	0.92611	PRDM2
ENSG00000189337	1	14925200	15444539	1278	149	584	0.40578	0.34245	KAZN
ENSG00000171729	1	15479028	15546976	265	22	584	-1.067	0.85702	TMEM51
ENSG00000204464	1	15490840	15497813	17	3	584	0.27087	0.39325	C1orf195
ENSG00000142621	1	15573768	15726779	245	24	584	-1.105	0.86542	FHAD1
ENSG00000142634	1	15736391	15756839	28	5	584	-0.027602	0.51101	EFHD2
ENSG00000162438	1	15764935	15775737	3	1	584	-0.17827	0.57075	CTRC
ENSG00000142615	1	15783223	15798586	41	4	584	0.6436	0.25992	CELA2A
ENSG00000215704	1	15792404	15817895	50	5	584	0.95996	0.16854	CELA2B
ENSG00000132906	1	15817327	15853029	128	5	584	1.0691	0.14252	CASP9
ENSG00000116138	1	15853308	15918874	181	7	584	0.30356	0.38073	DNAJC16
ENSG00000116771	1	15898848	15911605	50	3	584	-0.025835	0.51031	AGMAT
ENSG00000197312	1	15943995	15995539	93	2	584	-0.51856	0.69797	DDI2
ENSG00000215695	1	15986364	15988217	1	1	584	-0.29428	0.61573	RSC1A1
ENSG00000116786	1	16010827	16061264	84	3	584	-0.56322	0.71336	PLEKHM2
ENSG00000162461	1	16062900	16067891	3	1	584	0.3147	0.3765	SLC25A34
ENSG00000162460	1	16068917	16074477	3	1	584	-1.3866	0.91721	TMEM82
ENSG00000162458	1	16083102	16113089	41	4	584	-3.2365	0.99939	FBLIM1
ENSG00000065526	1	16174359	16266955	109	8	584	-1.7446	0.95947	SPEN
ENSG00000116809	1	16268364	16302627	33	7	584	-1.374	0.91528	ZBTB17
ENSG00000183888	1	16330731	16335302	7	2	584	-1.3063	0.90427	C1orf64
ENSG00000173641	1	16340523	16346089	37	4	584	-2.635	0.99579	HSPB7
ENSG00000186510	1	16345370	16360545	37	6	584	-1.757	0.96054	CLCNKA
ENSG00000184908	1	16370272	16383803	53	3	584	2.929	0.0017003	CLCNKB
ENSG00000185519	1	16384264	16400127	8	3	584	1.1817	0.11866	FAM131C
ENSG00000142627	1	16450832	16482582	33	5	584	-0.90543	0.81738	EPHA2
ENSG00000142632	1	16524349	16539104	49	3	584	-0.87936	0.8104	ARHGEF19
ENSG00000204377	1	16555368	16556038	2	1	584	-1.0792	0.85976	C1orf134
ENSG00000132881	1	16558195	16563657	7	2	584	-0.71225	0.76184	RSG1
ENSG00000037637	1	16573334	16678949	152	4	584	-1.6663	0.95217	FBXO42
ENSG00000055070	1	16679070	16724640	53	4	584	-1.8575	0.96838	SZRD1
ENSG00000187144	1	16713612	16763919	61	9	584	-1.482	0.93083	SPATA21
ENSG00000157191	1	16767167	16786573	18	3	584	-1.7046	0.95587	NECAP2
ENSG00000058453	1	17066768	17299474	48	3	584	-1.4196	0.92214	CROCC
ENSG00000117122	1	17300997	17307330	15	3	584	-0.096738	0.53853	MFAP2
ENSG00000159363	1	17312453	17338423	32	4	584	-0.22224	0.58794	ATP13A2
ENSG00000117118	1	17345217	17380665	84	5	584	-1.0373	0.85021	SDHB
ENSG00000117115	1	17393256	17445948	173	6	584	-1.7242	0.95766	PADI2
ENSG00000142623	1	17531621	17572500	58	12	584	-1.6985	0.9553	PADI1
ENSG00000142619	1	17575593	17610728	120	15	584	-1.7562	0.96047	PADI3
ENSG00000159339	1	17634690	17690499	188	10	584	1.1124	0.13297	PADI4
ENSG00000269468	1	17655507	17676070	105	5	584	1.0423	0.14864	AC004824.2
ENSG00000179051	1	17733256	17766220	58	6	584	1.4397	0.074975	RCC2
ENSG00000074964	1	17866330	18024369	212	17	584	-0.1629	0.5647	ARHGEF10L
ENSG00000117148	1	18081808	18153558	134	11	584	-0.12304	0.54896	ACTL8
ENSG00000117154	1	18434240	18704977	646	79	584	0.49868	0.309	IGSF21
ENSG00000179023	1	18807424	18812478	23	4	584	0.30176	0.38142	KLHDC7A
ENSG00000009709	1	18957500	19075360	223	33	584	-0.16987	0.56744	PAX7
ENSG00000179002	1	19166093	19186176	65	9	584	0.75052	0.22647	TAS1R2
ENSG00000255275	1	19175767	19247615	194	25	584	0.094998	0.46216	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	70	14	584	-0.94672	0.82811	ALDH4A1
ENSG00000169991	1	19230775	19283180	129	19	584	-1.115	0.86757	IFFO2
ENSG00000127481	1	19401000	19536770	205	14	584	-0.060426	0.52409	UBR4
ENSG00000127463	1	19542158	19578046	88	8	584	-1.3724	0.91502	EMC1
ENSG00000053372	1	19578033	19586622	42	6	584	-0.53407	0.70335	MRTO4
ENSG00000162482	1	19609052	19615744	33	6	584	-1.939	0.97375	AKR7A3
ENSG00000053371	1	19630459	19638640	18	7	584	-1.2022	0.88535	AKR7A2
ENSG00000040487	1	19638820	19655794	71	8	584	0.43728	0.33095	PQLC2
ENSG00000077549	1	19665267	19812066	488	28	584	1.4339	0.075797	CAPZB
ENSG00000270136	1	19923473	19984549	141	20	584	-0.32297	0.62664	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	60	8	584	0.21854	0.4135	MINOS1
ENSG00000158747	1	19967048	19984945	46	12	584	-0.89617	0.81492	NBL1
ENSG00000158748	1	19991780	20006055	42	8	584	-0.90991	0.81857	HTR6
ENSG00000162542	1	20008706	20126438	254	37	584	0.53495	0.29634	TMCO4
ENSG00000178828	1	20140523	20141771	3	2	584	0.70483	0.24046	RNF186
ENSG00000169914	1	20209006	20239438	55	8	584	2.508	0.0060713	OTUD3
ENSG00000188784	1	20246502	20250110	11	2	584	1.5412	0.061634	PLA2G2E
ENSG00000188257	1	20301925	20306932	7	3	584	1.7433	0.040642	PLA2G2A
ENSG00000127472	1	20354672	20417683	153	14	584	-0.047717	0.51903	PLA2G5
ENSG00000117215	1	20438432	20446050	6	3	584	-0.24217	0.59568	PLA2G2D
ENSG00000158786	1	20465819	20476879	4	2	584	0.50307	0.30746	PLA2G2F
ENSG00000187980	1	20487746	20503917	42	7	584	-0.083624	0.53332	PLA2G2C
ENSG00000158816	1	20617412	20681387	97	7	584	-0.56065	0.71248	VWA5B1
ENSG00000162545	1	20808884	20812713	2	1	584	0.93987	0.17364	CAMK2N1
ENSG00000090432	1	20825943	20834654	16	5	584	0.18841	0.42528	MUL1
ENSG00000183114	1	20878932	20881512	4	1	584	-1.4636	0.92835	FAM43B
ENSG00000158825	1	20915441	20945401	120	16	584	-0.14644	0.55821	CDA
ENSG00000158828	1	20959948	20978004	74	7	584	0.46661	0.32039	PINK1
ENSG00000244038	1	20978270	20988000	28	4	584	0.4469	0.32747	DDOST
ENSG00000117245	1	20990507	21044510	126	23	584	-0.42052	0.66295	KIF17
ENSG00000189410	1	21046225	21059330	28	6	584	-0.3748	0.64609	SH2D5
ENSG00000127483	1	21069154	21113816	59	5	584	-0.21927	0.58678	HP1BP3
ENSG00000075151	1	21132963	21503377	553	13	584	0.87507	0.19077	EIF4G3
ENSG00000117298	1	21543740	21671997	157	18	584	-0.60517	0.72747	ECE1
ENSG00000142794	1	21766621	21811498	122	8	584	-0.69966	0.75793	NBPF3
ENSG00000162551	1	21835858	21904905	132	13	584	-2.3017	0.98932	ALPL
ENSG00000076864	1	21922708	21995801	153	26	584	-0.64617	0.74092	RAP1GAP
ENSG00000090686	1	22004791	22110099	110	8	584	1.6324	0.0513	USP48
ENSG00000187942	1	22138758	22151714	16	5	584	1.2543	0.10486	LDLRAD2
ENSG00000142798	1	22148738	22263790	163	14	584	-0.41359	0.66041	HSPG2
ENSG00000219073	1	22303514	22325135	160	15	584	-1.7544	0.96032	CELA3B
ENSG00000142789	1	22328149	22339032	31	4	584	-0.76206	0.77699	CELA3A
ENSG00000070831	1	22379120	22419437	39	6	584	-0.18289	0.57256	CDC42
ENSG00000162552	1	22443798	22470462	55	8	584	-1.4056	0.92008	WNT4
ENSG00000184677	1	22778344	22857650	113	11	584	0.39356	0.34695	ZBTB40
ENSG00000070886	1	22890057	22930087	117	14	584	0.45852	0.32329	EPHA8
ENSG00000173372	1	22962999	22966101	4	1	584	-0.92057	0.82136	C1QA
ENSG00000159189	1	22970123	22974603	24	4	584	-0.17065	0.56775	C1QC
ENSG00000173369	1	22979255	22988031	27	6	584	0.22053	0.41273	C1QB
ENSG00000133216	1	23037332	23241818	321	41	584	0.70667	0.23988	EPHB2
ENSG00000215906	1	23279536	23291831	28	5	584	-0.50411	0.69291	LACTBL1
ENSG00000227868	1	23337327	23342343	8	2	584	-0.5264	0.70069	C1orf234
ENSG00000004487	1	23345941	23410182	57	4	584	-0.47182	0.68147	KDM1A
ENSG00000169641	1	23410516	23504301	123	9	584	-0.41588	0.66125	LUZP1
ENSG00000179546	1	23516993	23521222	9	2	584	-0.10845	0.54318	HTR1D
ENSG00000125944	1	23630264	23670829	29	3	584	-0.44028	0.67013	HNRNPR
ENSG00000125945	1	23685941	23695935	24	3	584	0.18017	0.42851	ZNF436
ENSG00000249087	1	23695490	23698332	3	2	584	0.4612	0.32233	C1orf213
ENSG00000204219	1	23707554	23751233	95	11	584	-0.95263	0.82961	TCEA3
ENSG00000088280	1	23755056	23811061	78	6	584	-0.3115	0.62229	ASAP3
ENSG00000007968	1	23832922	23857712	38	4	584	-1.1446	0.87382	E2F2
ENSG00000117318	1	23884409	23886285	4	2	584	0.75312	0.22569	ID3
ENSG00000197880	1	23907985	23967058	33	7	584	1.762	0.039035	MDS2
ENSG00000142676	1	24018269	24022915	8	2	584	-0.58004	0.71906	RPL11
ENSG00000011007	1	24069645	24088549	5	2	584	-2.2172	0.98669	TCEB3
ENSG00000057757	1	24104895	24114722	3	1	584	-1.555	0.94002	PITHD1
ENSG00000117305	1	24128375	24165110	37	1	584	-1.2059	0.88608	HMGCL
ENSG00000179163	1	24171567	24194784	46	4	584	-1.7643	0.96116	FUCA1
ENSG00000188822	1	24197016	24285549	190	9	584	-0.48654	0.68671	CNR2
ENSG00000142661	1	24382525	24438665	124	10	584	-0.54905	0.70852	MYOM3
ENSG00000142677	1	24446261	24469611	16	2	584	-0.035148	0.51402	IL22RA1
ENSG00000185436	1	24480647	24514449	64	8	584	0.15709	0.43759	IFNLR1
ENSG00000158055	1	24645812	24690972	30	7	584	0.050735	0.47977	GRHL3
ENSG00000001460	1	24683489	24743424	111	8	584	1.42	0.077808	STPG1
ENSG00000001461	1	24742284	24799466	129	10	584	1.8893	0.029424	NIPAL3
ENSG00000117602	1	24829387	24867530	68	5	584	-0.39829	0.65479	RCAN3
ENSG00000184454	1	24882602	24935819	188	20	584	1.4996	0.066859	NCMAP
ENSG00000133226	1	24958207	24999758	13	2	584	-0.29052	0.61429	SRRM1
ENSG00000169504	1	25071848	25170815	62	2	584	1.8123	0.034973	CLIC4
ENSG00000020633	1	25226002	25291612	62	8	584	-0.40255	0.65636	RUNX3
ENSG00000183726	1	25664408	25688852	9	1	584	0.062626	0.47503	TMEM50A
ENSG00000188672	1	25688740	25756683	72	2	584	0.38788	0.34905	RHCE
ENSG00000204178	1	25757388	25826700	93	1	584	0.34601	0.36467	TMEM57
ENSG00000157978	1	25870071	25895377	25	2	584	-0.17505	0.56948	LDLRAP1
ENSG00000117643	1	25943959	26112698	158	16	584	-1.4527	0.92685	MAN1C1
ENSG00000162430	1	26126667	26144713	2	1	584	-0.046433	0.51852	SEPN1
ENSG00000255054	1	26137961	26150235	2	1	584	-0.58529	0.72082	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	2	1	584	-0.91646	0.82029	MTFR1L
ENSG00000127423	1	26158414	26185903	48	1	584	-0.93708	0.82564	AUNIP
ENSG00000182749	1	26187701	26197744	7	2	584	-0.73021	0.76737	PAQR7
ENSG00000117632	1	26210672	26233482	24	3	584	-1.0093	0.84359	STMN1
ENSG00000158006	1	26286258	26324648	67	2	584	-0.055167	0.522	PAFAH2
ENSG00000158008	1	26346375	26362955	6	2	584	-0.13214	0.55257	EXTL1
ENSG00000158014	1	26363743	26372624	3	1	584	-0.095694	0.53812	SLC30A2
ENSG00000158022	1	26377795	26394927	19	2	584	-0.028453	0.51135	TRIM63
ENSG00000175087	1	26437664	26452034	4	1	584	-0.4348	0.66814	PDIK1L
ENSG00000142684	1	26496362	26498551	1	1	584	-1.4391	0.92494	ZNF593
ENSG00000142675	1	26503894	26516377	16	3	584	-1.0725	0.85825	CNKSR1
ENSG00000188782	1	26517052	26529459	26	5	584	-1.4011	0.91941	CATSPER4
ENSG00000130695	1	26560691	26605299	83	7	584	0.61161	0.2704	CEP85
ENSG00000142669	1	26605667	26608007	2	1	584	2.441	0.0073235	SH3BGRL3
ENSG00000158062	1	26607819	26644854	95	7	584	0.085014	0.46613	UBXN11
ENSG00000169442	1	26644448	26647014	11	3	584	0.60807	0.27157	CD52
ENSG00000176092	1	26648350	26680621	77	8	584	0.6728	0.25054	AIM1L
ENSG00000176083	1	26688125	26701013	40	5	584	1.0994	0.1358	ZNF683
ENSG00000131914	1	26737269	26756213	16	5	584	-2.1993	0.98607	LIN28A
ENSG00000117682	1	26758773	26797785	34	5	584	-0.34035	0.6332	DHDDS
ENSG00000198830	1	26798941	26802463	3	1	584	-0.30774	0.62086	HMGN2
ENSG00000117676	1	26856252	26901521	5	2	584	-0.3779	0.64725	RPS6KA1
ENSG00000117713	1	27022524	27108595	4	1	584	-1.1756	0.88013	ARID1A
ENSG00000060642	1	27113963	27124889	1	1	584	-0.78844	0.78478	PIGV
ENSG00000204160	1	27153201	27184093	1	1	584	-0.25822	0.60188	ZDHHC18
ENSG00000142751	1	27202624	27216788	2	1	584	-0.90312	0.81677	GPN2
ENSG00000090273	1	27226729	27273353	3	1	584	-0.74318	0.77131	NUDC
ENSG00000175707	1	27276053	27286897	2	1	584	-0.77524	0.7809	C1orf172
ENSG00000253368	1	27320198	27327389	1	1	584	-0.50715	0.69398	TRNP1
ENSG00000090020	1	27425306	27493472	39	1	584	-1.7991	0.964	SLC9A1
