GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000179840	1	9712668	9714644	5	2	46350	-0.13602	0.5541	C1orf200
ENSG00000171603	1	9789084	9884584	146	15	46350	-0.029333	0.5117	CLSTN1
ENSG00000178585	1	9908334	9970394	69	10	46350	-0.18114	0.57187	CTNNBIP1
ENSG00000162441	1	9982173	10003465	56	9	46350	-1.0506	0.85327	LZIC
ENSG00000173614	1	10003486	10045559	93	13	46350	-0.40563	0.65749	NMNAT1
ENSG00000162444	1	10057264	10076078	49	6	46350	-0.21228	0.58405	RBP7
ENSG00000130939	1	10092890	10241297	357	17	46350	0.083456	0.46674	UBE4B
ENSG00000054523	1	10270863	10441661	641	17	46350	-0.0016617	0.50066	KIF1B
ENSG00000142657	1	10458649	10480201	57	8	46350	0.64412	0.25975	PGD
ENSG00000251503	1	10490159	10512210	70	6	46350	-0.80189	0.78869	APITD1-CORT
ENSG00000175279	1	10490159	10512210	70	6	46350	-0.80189	0.78869	APITD1
ENSG00000241563	1	10509776	10511959	4	2	46350	-0.22503	0.58902	CORT
ENSG00000160049	1	10516579	10532583	31	7	46350	-1.2141	0.88764	DFFA
ENSG00000142655	1	10532345	10690815	416	28	46350	-1.3299	0.90822	PEX14
ENSG00000130940	1	10696661	10856707	384	59	46350	-0.60237	0.72654	CASZ1
ENSG00000175262	1	11006528	11042094	128	15	46350	-0.83481	0.79809	C1orf127
ENSG00000120948	1	11072414	11085796	32	3	46350	1.3297	0.091813	TARDBP
ENSG00000009724	1	11086580	11107290	57	6	46350	2.037	0.020825	MASP2
ENSG00000116649	1	11114641	11120081	10	3	46350	2.611	0.0045141	SRM
ENSG00000171824	1	11126675	11159938	109	6	46350	2.4692	0.006771	EXOSC10
ENSG00000198793	1	11166592	11322564	361	8	46350	2.2416	0.012492	MTOR
ENSG00000171819	1	11249398	11256038	16	3	46350	1.6657	0.047886	ANGPTL7
ENSG00000120942	1	11333263	11356106	37	4	46350	0.74509	0.22811	UBIAD1
ENSG00000204624	1	11539223	11597641	161	16	46350	0.46226	0.32195	PTCHD2
ENSG00000116661	1	11708424	11715842	15	6	46350	-0.8405	0.79969	FBXO2
ENSG00000132879	1	11714432	11723384	28	8	46350	-0.67364	0.74973	FBXO44
ENSG00000116663	1	11724181	11734411	46	9	46350	-0.0035686	0.50142	FBXO6
ENSG00000116670	1	11734537	11751707	65	13	46350	-0.058072	0.52315	MAD2L2
ENSG00000162490	1	11751786	11785914	107	18	46350	0.39993	0.3446	DRAXIN
ENSG00000177674	1	11796141	11814859	47	6	46350	1.4321	0.076063	AGTRAP
ENSG00000215910	1	11821844	11849642	176	12	46350	1.1852	0.11797	C1orf167
ENSG00000177000	1	11845780	11866977	93	12	46350	1.6481	0.049663	MTHFR
ENSG00000011021	1	11866207	11903201	227	16	46350	1.8868	0.029594	CLCN6
ENSG00000175206	1	11905766	11908402	18	4	46350	1.3801	0.083782	NPPA
ENSG00000120937	1	11917521	11918988	2	1	46350	-0.55866	0.7118	NPPB
ENSG00000116685	1	11979648	11986485	25	7	46350	-0.3931	0.65288	KIAA2013
ENSG00000083444	1	11994262	12035595	124	12	46350	-1.1365	0.87214	PLOD1
ENSG00000116688	1	12040238	12073571	103	9	46350	-0.75801	0.77578	MFN2
ENSG00000116691	1	12079523	12092102	23	5	46350	-2.464	0.99313	MIIP
ENSG00000120949	1	12123434	12204264	211	35	46350	-0.25169	0.59936	TNFRSF8
ENSG00000028137	1	12227060	12269285	145	16	46350	-0.94015	0.82643	TNFRSF1B
ENSG00000048707	1	12290124	12572099	379	26	46350	-1.0756	0.85895	VPS13D
ENSG00000162496	1	12627939	12677737	182	32	46350	-0.71333	0.76218	DHRS3
ENSG00000204518	1	12704566	12727097	43	3	46350	-0.56869	0.71522	AADACL4
ENSG00000188984	1	12776118	12788726	47	7	46350	-1.377	0.91574	AADACL3
ENSG00000157330	1	12806163	12823847	56	8	46350	-1.2989	0.90301	C1orf158
ENSG00000116726	1	12834984	12838049	9	2	46350	-1.2073	0.88633	PRAMEF12
ENSG00000116721	1	12851546	12856777	30	6	46350	-1.3142	0.90561	PRAMEF1
ENSG00000204513	1	12884468	12891264	11	3	46350	-1.3927	0.91814	PRAMEF11
ENSG00000179172	1	12907261	12908578	8	3	46350	0.24374	0.40372	HNRNPCL1
ENSG00000120952	1	12916941	12921764	51	7	46350	1.4227	0.077407	PRAMEF2
ENSG00000243073	1	12939045	12946025	39	5	46350	1.6654	0.047918	PRAMEF4
ENSG00000187545	1	12952727	12958101	4	2	46350	-0.68013	0.75179	PRAMEF10
ENSG00000232423	1	12998181	13117751	7	2	46350	-0.33619	0.63163	PRAMEF6
ENSG00000162494	1	13801445	13840543	137	26	46350	-1.026	0.84756	LRRC38
ENSG00000162493	1	13909960	13944452	115	25	46350	0.32831	0.37134	PDPN
ENSG00000116731	1	14026693	14151574	399	29	46350	0.42638	0.33491	PRDM2
ENSG00000189337	1	14925200	15444539	1932	181	46350	-0.46488	0.67899	KAZN
ENSG00000171729	1	15479028	15546976	403	30	46350	0.3988	0.34502	TMEM51
ENSG00000204464	1	15490840	15497813	32	8	46350	0.29052	0.38571	C1orf195
ENSG00000142621	1	15573768	15726779	494	54	46350	-1.3837	0.91678	FHAD1
ENSG00000142634	1	15736391	15756839	67	19	46350	-1.1608	0.87714	EFHD2
ENSG00000162438	1	15764935	15775737	29	8	46350	-0.13644	0.55426	CTRC
ENSG00000142615	1	15783223	15798586	67	10	46350	0.42973	0.3337	CELA2A
ENSG00000215704	1	15792404	15817895	97	14	46350	-0.0060287	0.50241	CELA2B
ENSG00000132906	1	15817327	15853029	168	11	46350	0.78499	0.21623	CASP9
ENSG00000116138	1	15853308	15918874	245	14	46350	0.6397	0.26118	DNAJC16
ENSG00000116771	1	15898848	15911605	65	6	46350	0.73762	0.23037	AGMAT
ENSG00000197312	1	15943995	15995539	142	7	46350	-0.69855	0.75758	DDI2
ENSG00000215695	1	15986364	15988217	3	2	46350	-1.3105	0.90498	RSC1A1
ENSG00000116786	1	16010827	16061264	171	13	46350	-0.82218	0.79451	PLEKHM2
ENSG00000162461	1	16062900	16067891	10	4	46350	0.0089068	0.49645	SLC25A34
ENSG00000162460	1	16068917	16074477	20	5	46350	-1.445	0.92577	TMEM82
ENSG00000162458	1	16083102	16113089	79	12	46350	-0.91173	0.81904	FBLIM1
ENSG00000065526	1	16174359	16266955	184	21	46350	1.3627	0.086495	SPEN
ENSG00000116809	1	16268364	16302627	64	13	46350	1.2355	0.10833	ZBTB17
ENSG00000183888	1	16330731	16335302	19	6	46350	0.7481	0.2272	C1orf64
ENSG00000173641	1	16340523	16346089	50	6	46350	0.17161	0.43187	HSPB7
ENSG00000186510	1	16345370	16360545	95	13	46350	0.8956	0.18523	CLCNKA
ENSG00000184908	1	16370272	16383803	144	15	46350	-0.12974	0.55161	CLCNKB
ENSG00000185519	1	16384264	16400127	103	13	46350	0.4709	0.31885	FAM131C
ENSG00000142627	1	16450832	16482582	63	14	46350	2.2003	0.013894	EPHA2
ENSG00000142632	1	16524349	16539104	66	6	46350	0.36421	0.35785	ARHGEF19
ENSG00000204377	1	16555368	16556038	3	1	46350	0.41603	0.33869	C1orf134
ENSG00000132881	1	16558195	16563657	15	6	46350	0.80667	0.20993	RSG1
ENSG00000037637	1	16573334	16678949	284	13	46350	-0.0090104	0.50359	FBXO42
ENSG00000055070	1	16679070	16724640	131	14	46350	0.26556	0.39529	SZRD1
ENSG00000187144	1	16713612	16763919	160	25	46350	0.95266	0.17038	SPATA21
ENSG00000157191	1	16767167	16786573	46	11	46350	0.39435	0.34666	NECAP2
ENSG00000268674	1	16865561	16866070	1	1	46350	-0.46379	0.6786	FAM231B
ENSG00000219481	1	16888814	16940057	2	1	46350	1.2463	0.10633	NBPF1
ENSG00000058453	1	17066768	17299474	375	24	46350	-0.35546	0.63888	CROCC
ENSG00000117122	1	17300997	17307330	19	4	46350	1.4157	0.078437	MFAP2
ENSG00000159363	1	17312453	17338423	55	10	46350	1.1595	0.12313	ATP13A2
ENSG00000117118	1	17345217	17380665	130	12	46350	0.90935	0.18158	SDHB
ENSG00000117115	1	17393256	17445948	296	18	46350	0.49558	0.3101	PADI2
ENSG00000142623	1	17531621	17572500	156	40	46350	0.0098754	0.49606	PADI1
ENSG00000142619	1	17575593	17610728	180	26	46350	1.4864	0.068591	PADI3
ENSG00000159339	1	17634690	17690499	349	28	46350	-0.57768	0.71826	PADI4
ENSG00000269468	1	17655507	17676070	159	13	46350	-0.56552	0.71414	AC004824.2
ENSG00000179051	1	17733256	17766220	87	13	46350	1.0504	0.14677	RCC2
ENSG00000074964	1	17866330	18024369	365	34	46350	-1.7881	0.96312	ARHGEF10L
ENSG00000117148	1	18081808	18153558	231	24	46350	-0.09649	0.53843	ACTL8
ENSG00000117154	1	18434240	18704977	1020	115	46350	0.90595	0.18248	IGSF21
ENSG00000179023	1	18807424	18812478	28	6	46350	-0.58323	0.72013	KLHDC7A
ENSG00000009709	1	18957500	19075360	325	42	46350	0.77151	0.2202	PAX7
ENSG00000179002	1	19166093	19186176	128	22	46350	1.3421	0.089782	TAS1R2
ENSG00000255275	1	19175767	19247615	353	40	46350	-0.056853	0.52267	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	145	21	46350	-1.0304	0.8486	ALDH4A1
ENSG00000169991	1	19230775	19283180	171	30	46350	-0.31848	0.62494	IFFO2
ENSG00000127481	1	19401000	19536770	303	20	46350	-1.0105	0.84387	UBR4
ENSG00000127463	1	19542158	19578046	118	14	46350	0.068104	0.47285	EMC1
ENSG00000053372	1	19578033	19586622	59	9	46350	-1.0887	0.86186	MRTO4
ENSG00000162482	1	19609052	19615744	31	5	46350	-0.83327	0.79766	AKR7A3
ENSG00000053371	1	19630459	19638640	28	11	46350	-1.4318	0.9239	AKR7A2
ENSG00000040487	1	19638820	19655794	100	13	46350	-1.4616	0.92808	PQLC2
ENSG00000077549	1	19665267	19812066	624	24	46350	-0.090477	0.53605	CAPZB
ENSG00000270136	1	19923473	19984549	215	33	46350	1.1752	0.11997	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	88	14	46350	0.12863	0.44883	MINOS1
ENSG00000158747	1	19967048	19984945	81	23	46350	2.231	0.012839	NBL1
ENSG00000158748	1	19991780	20006055	36	6	46350	3.1686	0.00076576	HTR6
ENSG00000162542	1	20008706	20126438	375	41	46350	0.86326	0.194	TMCO4
ENSG00000178828	1	20140523	20141771	5	3	46350	-0.88485	0.81188	RNF186
ENSG00000169914	1	20209006	20239438	93	15	46350	-0.48878	0.6875	OTUD3
ENSG00000188784	1	20246502	20250110	17	5	46350	-0.58667	0.72129	PLA2G2E
ENSG00000188257	1	20301925	20306932	15	6	46350	0.042196	0.48317	PLA2G2A
ENSG00000127472	1	20354672	20417683	234	27	46350	-1.7176	0.95707	PLA2G5
ENSG00000117215	1	20438432	20446050	24	10	46350	-0.62774	0.73491	PLA2G2D
ENSG00000158786	1	20465819	20476879	21	9	46350	1.0604	0.14449	PLA2G2F
ENSG00000187980	1	20487746	20503917	59	13	46350	-0.040056	0.51598	PLA2G2C
ENSG00000162543	1	20512578	20522541	9	3	46350	0.86094	0.19464	UBXN10
ENSG00000158816	1	20617412	20681387	275	25	46350	0.85358	0.19667	VWA5B1
ENSG00000162545	1	20808884	20812713	3	2	46350	-0.42905	0.66605	CAMK2N1
ENSG00000090432	1	20825943	20834654	27	8	46350	0.68085	0.24798	MUL1
ENSG00000183114	1	20878932	20881512	4	1	46350	0.62774	0.26509	FAM43B
ENSG00000158825	1	20915441	20945401	153	22	46350	-0.20716	0.58206	CDA
ENSG00000158828	1	20959948	20978004	93	12	46350	-1.3872	0.91731	PINK1
ENSG00000244038	1	20978270	20988000	37	7	46350	-0.40946	0.6589	DDOST
ENSG00000117245	1	20990507	21044510	251	51	46350	-0.85148	0.80275	KIF17
ENSG00000189410	1	21046225	21059330	36	8	46350	-0.68591	0.75361	SH2D5
ENSG00000127483	1	21069154	21113816	129	18	46350	0.084772	0.46622	HP1BP3
ENSG00000075151	1	21132963	21503377	888	27	46350	0.894	0.18566	EIF4G3
ENSG00000117298	1	21543740	21671997	396	42	46350	-0.57682	0.71797	ECE1
ENSG00000142794	1	21766621	21811498	202	17	46350	-0.17772	0.57053	NBPF3
ENSG00000162551	1	21835858	21904905	354	32	46350	-0.46036	0.67737	ALPL
ENSG00000076864	1	21922708	21995801	309	43	46350	2.4278	0.007596	RAP1GAP
ENSG00000090686	1	22004791	22110099	385	30	46350	-0.064617	0.52576	USP48
ENSG00000187942	1	22138758	22151714	47	19	46350	-0.38078	0.64832	LDLRAD2
ENSG00000142798	1	22148738	22263790	409	40	46350	-0.71731	0.76341	HSPG2
ENSG00000219073	1	22303514	22325135	252	19	46350	-0.070372	0.52805	CELA3B
ENSG00000142789	1	22328149	22339032	89	13	46350	-0.52119	0.69888	CELA3A
ENSG00000070831	1	22379120	22419437	127	17	46350	-0.37611	0.64658	CDC42
ENSG00000162552	1	22443798	22470462	100	17	46350	-0.705	0.7596	WNT4
ENSG00000184677	1	22778344	22857650	160	18	46350	-1.138	0.87243	ZBTB40
ENSG00000070886	1	22890057	22930087	198	27	46350	0.00033438	0.49987	EPHA8
ENSG00000173372	1	22962999	22966101	6	3	46350	-1.1583	0.87663	C1QA
ENSG00000159189	1	22970123	22974603	22	4	46350	-1.8152	0.96526	C1QC
ENSG00000173369	1	22979255	22988031	28	6	46350	-0.59228	0.72317	C1QB
ENSG00000133216	1	23037332	23241818	479	53	46350	1.479	0.069572	EPHB2
ENSG00000215906	1	23279536	23291831	37	9	46350	-0.66313	0.74638	LACTBL1
ENSG00000227868	1	23337327	23342343	10	3	46350	-0.83059	0.7969	C1orf234
ENSG00000004487	1	23345941	23410182	86	9	46350	-1.2425	0.89297	KDM1A
ENSG00000169641	1	23410516	23504301	209	21	46350	-0.3779	0.64725	LUZP1
ENSG00000179546	1	23516993	23521222	15	3	46350	-0.60438	0.7272	HTR1D
ENSG00000125944	1	23630264	23670829	51	9	46350	1.7636	0.038902	HNRNPR
ENSG00000125945	1	23685941	23695935	30	6	46350	1.7165	0.043032	ZNF436
ENSG00000249087	1	23695490	23698332	3	2	46350	1.6963	0.044918	C1orf213
ENSG00000204219	1	23707554	23751233	125	18	46350	2.2918	0.010958	TCEA3
ENSG00000088280	1	23755056	23811061	136	15	46350	0.85916	0.19513	ASAP3
ENSG00000007968	1	23832922	23857712	60	7	46350	1.3982	0.081034	E2F2
ENSG00000117318	1	23884409	23886285	8	3	46350	0.84886	0.19798	ID3
ENSG00000197880	1	23907985	23967058	122	26	46350	3.6265	0.00014363	MDS2
ENSG00000142676	1	24018269	24022915	5	2	46350	0.48132	0.31515	RPL11
ENSG00000011007	1	24069645	24088549	24	11	46350	0.48684	0.31319	TCEB3
ENSG00000057757	1	24104895	24114722	9	3	46350	-0.26296	0.60371	PITHD1
ENSG00000011009	1	24117460	24122029	4	1	46350	-0.60501	0.72741	LYPLA2
ENSG00000117308	1	24122089	24127271	1	1	46350	-0.055425	0.5221	GALE
ENSG00000117305	1	24128375	24165110	56	4	46350	0.82542	0.20457	HMGCL
ENSG00000179163	1	24171567	24194784	54	6	46350	0.83051	0.20312	FUCA1
ENSG00000188822	1	24197016	24285549	267	12	46350	0.67817	0.24883	CNR2
ENSG00000189266	1	24285599	24289952	9	2	46350	0.59921	0.27451	PNRC2
ENSG00000188529	1	24291294	24307417	11	4	46350	0.93174	0.17573	SRSF10
ENSG00000142661	1	24382525	24438665	209	23	46350	-0.062689	0.52499	MYOM3
ENSG00000142677	1	24446261	24469611	74	15	46350	1.667	0.047754	IL22RA1
ENSG00000185436	1	24480647	24514449	153	21	46350	0.48404	0.31418	IFNLR1
ENSG00000158055	1	24645812	24690972	104	22	46350	-2.7225	0.99676	GRHL3
ENSG00000001460	1	24683489	24743424	188	19	46350	-1.9824	0.97628	STPG1
ENSG00000001461	1	24742284	24799466	175	16	46350	-1.857	0.96835	NIPAL3
ENSG00000117602	1	24829387	24867530	138	16	46350	0.75725	0.22445	RCAN3
ENSG00000184454	1	24882602	24935819	276	26	46350	0.57655	0.28212	NCMAP
ENSG00000133226	1	24958207	24999758	52	9	46350	1.774	0.038031	SRRM1
ENSG00000169504	1	25071848	25170815	123	12	46350	0.20913	0.41717	CLIC4
ENSG00000020633	1	25226002	25291612	136	26	46350	-0.18386	0.57294	RUNX3
ENSG00000117614	1	25549170	25558993	5	3	46350	-0.81186	0.79156	SYF2
ENSG00000117616	1	25568728	25664704	85	12	46350	2.5103	0.0060315	C1orf63
ENSG00000187010	1	25598884	25656936	48	6	46350	2.1881	0.014329	RHD
ENSG00000183726	1	25664408	25688852	28	6	46350	3.3923	0.00034655	TMEM50A
ENSG00000188672	1	25688740	25756683	93	4	46350	2.9239	0.0017286	RHCE
ENSG00000204178	1	25757388	25826700	107	2	46350	2.4857	0.0064652	TMEM57
ENSG00000157978	1	25870071	25895377	47	6	46350	0.5542	0.28972	LDLRAP1
ENSG00000117643	1	25943959	26112698	294	21	46350	3.5508	0.00019204	MAN1C1
ENSG00000162430	1	26126667	26144713	54	4	46350	-0.69104	0.75523	SEPN1
ENSG00000255054	1	26137961	26150235	39	4	46350	-0.064512	0.52572	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	36	3	46350	-0.15767	0.56264	MTFR1L
ENSG00000223474	1	26145212	26147288	6	2	46350	-1.0619	0.85587	AL020996.1
ENSG00000127423	1	26158414	26185903	76	3	46350	-0.39472	0.65348	AUNIP
ENSG00000182749	1	26187701	26197744	8	3	46350	-0.80299	0.78901	PAQR7
