GenomicLocus	region1	region2	FDR	type	DB	tissue/cell	inter/intra	SNPs	genes	ciMapFilt
66	17:44000829-44001819	17:44369000-44371000	0	EP	PsychENCODE	EP_links_oneway	intra	rs17649866;rs62058968;rs17564493;chr17:44001549;rs17649918;rs17649954	ENSG00000176681	1
66	17:44013225-44013629	17:43559000-43561000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62061721;rs79857651;rs113756354	NA	0
66	17:44013225-44013629	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62061721;rs79857651;rs113756354	NA	0
66	17:44013225-44013629	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62061721;rs79857651;rs113756354	NA	0
66	17:44013225-44013629	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62061721;rs79857651;rs113756354	NA	0
66	17:44013923-44014381	17:43559000-43561000	0	EP	PsychENCODE	EP_links_oneway	intra	rs12150111;rs55939347;chr17:44013966;rs12150460;rs12150195	NA	0
66	17:44013923-44014381	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs12150111;rs55939347;chr17:44013966;rs12150460;rs12150195	NA	0
66	17:44013923-44014381	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs12150111;rs55939347;chr17:44013966;rs12150460;rs12150195	NA	0
66	17:44013923-44014381	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs12150111;rs55939347;chr17:44013966;rs12150460;rs12150195	NA	0
66	17:44016619-44017330	17:43559000-43561000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62061727;rs62061728;rs62061729	NA	0
66	17:44016619-44017330	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62061727;rs62061728;rs62061729	NA	0
66	17:44016619-44017330	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62061727;rs62061728;rs62061729	NA	0
66	17:44016619-44017330	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62061727;rs62061728;rs62061729	NA	0
66	17:44017876-44018614	17:43559000-43561000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62061732;rs62061733;rs62061734m;rs7210219	NA	0
66	17:44017876-44018614	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62061732;rs62061733;rs62061734m;rs7210219	NA	0
66	17:44017876-44018614	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62061732;rs62061733;rs62061734m;rs7210219	NA	0
66	17:44017876-44018614	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62061732;rs62061733;rs62061734m;rs7210219	NA	0
66	17:44019495-44020389	17:43559000-43561000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062769;rs62062770;rs62062771;rs62062772	NA	0
66	17:44019495-44020389	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062769;rs62062770;rs62062771;rs62062772	NA	0
66	17:44019495-44020389	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062769;rs62062770;rs62062771;rs62062772	NA	0
66	17:44019495-44020389	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062769;rs62062770;rs62062771;rs62062772	NA	0
66	17:44020528-44020682	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062773	NA	0
66	17:44020528-44020682	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062773	NA	0
66	17:44020528-44020682	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062773	NA	0
66	17:44020688-44021340	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs79115768;rs28416808	NA	0
66	17:44020688-44021340	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs79115768;rs28416808	NA	0
66	17:44020688-44021340	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs79115768;rs28416808	NA	0
66	17:44021396-44021641	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062774	NA	0
66	17:44021396-44021641	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062774	NA	0
66	17:44021396-44021641	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062774	NA	0
66	17:44022073-44022394	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs75839508;rs75686108	NA	0
66	17:44022073-44022394	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs75839508;rs75686108	NA	0
66	17:44022073-44022394	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs75839508;rs75686108	NA	0
66	17:44024046-44024738	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062784;rs62062785;rs62062786	NA	0
66	17:44024046-44024738	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062784;rs62062785;rs62062786	NA	0
66	17:44024046-44024738	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062784;rs62062785;rs62062786	NA	0
66	17:44025605-44025737	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs113395365;chr17:44025678	NA	0
66	17:44025605-44025737	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs113395365;chr17:44025678	NA	0
66	17:44025605-44025737	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs113395365;chr17:44025678	NA	0
66	17:44025803-44026158	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs242559	NA	0
66	17:44025803-44026158	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs242559	NA	0
66	17:44025803-44026158	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs242559	NA	0
66	17:44026248-44026380	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062793	NA	0
66	17:44026248-44026380	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062793	NA	0
66	17:44026248-44026380	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062793	NA	0
66	17:44026438-44026774	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs78556223;rs77266933;rs74531363;rs242561	NA	0
66	17:44026438-44026774	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs78556223;rs77266933;rs74531363;rs242561	NA	0
66	17:44026438-44026774	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs78556223;rs77266933;rs74531363;rs242561	NA	0
66	17:44026833-44027346	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062795;rs62062796	NA	0
66	17:44026833-44027346	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062795;rs62062796	NA	0
66	17:44026833-44027346	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062795;rs62062796	NA	0
66	17:44027609-44028050	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062800;chr17:44027836;rs62062801;rs62062802	NA	0
66	17:44027609-44028050	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062800;chr17:44027836;rs62062801;rs62062802	NA	0
66	17:44027609-44028050	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062800;chr17:44027836;rs62062801;rs62062802	NA	0
66	17:44028315-44028624	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	chr17:44028469	NA	0
66	17:44028315-44028624	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	chr17:44028469	NA	0
66	17:44028315-44028624	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	chr17:44028469	NA	0
66	17:44028766-44029013	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs77017444	NA	0
66	17:44028766-44029013	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs77017444	NA	0
66	17:44028766-44029013	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs77017444	NA	0
66	17:44029219-44029761	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	chr17:44029510	NA	0
66	17:44029219-44029761	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	chr17:44029510	NA	0
66	17:44029219-44029761	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	chr17:44029510	NA	0
66	17:44030878-44031427	17:43919000-43921000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062806	NA	0
66	17:44030878-44031427	17:43919000-43921000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062806	NA	0
66	17:44030878-44031427	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062806	NA	0
66	17:44030878-44031427	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062806	NA	0
66	17:44030878-44031427	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062806	NA	0
66	17:44032334-44033112	17:43919000-43921000	0	EP	PsychENCODE	EP_links_oneway	intra	rs55821155;rs56080482;rs17571718;rs78555354;rs17571739;rs62062813;rs62063262;chr17:44033097	NA	0
66	17:44032334-44033112	17:43919000-43921000	0	EP	PsychENCODE	EP_links_oneway	intra	rs55821155;rs56080482;rs17571718;rs78555354;rs17571739;rs62062813;rs62063262;chr17:44033097	NA	0
66	17:44032334-44033112	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs55821155;rs56080482;rs17571718;rs78555354;rs17571739;rs62062813;rs62063262;chr17:44033097	NA	0
66	17:44032334-44033112	17:43969000-43971000	0	EP	PsychENCODE	EP_links_oneway	intra	rs55821155;rs56080482;rs17571718;rs78555354;rs17571739;rs62062813;rs62063262;chr17:44033097	NA	0
66	17:44032334-44033112	17:43979000-43981000	0	EP	PsychENCODE	EP_links_oneway	intra	rs55821155;rs56080482;rs17571718;rs78555354;rs17571739;rs62062813;rs62063262;chr17:44033097	NA	0
66	17:44070306-44070568	17:44289000-44291000	0	EP	PsychENCODE	EP_links_oneway	intra	rs55662347	NA	0
66	17:44070306-44070568	17:44299000-44301000	0	EP	PsychENCODE	EP_links_oneway	intra	rs55662347	NA	0
66	17:44072781-44073499	17:44289000-44291000	0	EP	PsychENCODE	EP_links_oneway	intra	rs17573245;rs17573266;rs112572874;rs17652036;rs62063849;rs17652066	NA	0
66	17:44072781-44073499	17:44299000-44301000	0	EP	PsychENCODE	EP_links_oneway	intra	rs17573245;rs17573266;rs112572874;rs17652036;rs62063849;rs17652066	NA	0
66	17:44074275-44074508	17:44289000-44291000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62063851	NA	0
66	17:44074275-44074508	17:44299000-44301000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62063851	NA	0
66	17:44075063-44075367	17:44289000-44291000	0	EP	PsychENCODE	EP_links_oneway	intra	rs2004673;rs2004674	NA	0
66	17:44075063-44075367	17:44299000-44301000	0	EP	PsychENCODE	EP_links_oneway	intra	rs2004673;rs2004674	NA	0
66	17:44075882-44076135	17:44289000-44291000	0	EP	PsychENCODE	EP_links_oneway	intra	rs1078268	NA	0
66	17:44075882-44076135	17:44299000-44301000	0	EP	PsychENCODE	EP_links_oneway	intra	rs1078268	NA	0
66	17:44077347-44077940	17:44289000-44291000	0	EP	PsychENCODE	EP_links_oneway	intra	rs79959255;rs56301633;rs56108300	NA	0
66	17:44077347-44077940	17:44299000-44301000	0	EP	PsychENCODE	EP_links_oneway	intra	rs79959255;rs56301633;rs56108300	NA	0
66	17:44090004-44090643	17:44369000-44371000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062265;rs75666751;rs4306559;rs747152;rs12150254;chr17:44090536;chr17:44090538	ENSG00000176681	1
66	17:44090004-44090643	17:44669000-44671000	0	EP	PsychENCODE	EP_links_oneway	intra	rs62062265;rs75666751;rs4306559;rs747152;rs12150254;chr17:44090536;chr17:44090538	NA	0
66	17:44090645-44091834	17:44369000-44371000	0	EP	PsychENCODE	EP_links_oneway	intra	rs12150170;rs12150515;rs62062266;rs17573858;rs62062267;rs62062268;rs62062269;rs62062270;rs75534191	ENSG00000176681	1
66	17:44090645-44091834	17:44669000-44671000	0	EP	PsychENCODE	EP_links_oneway	intra	rs12150170;rs12150515;rs62062266;rs17573858;rs62062267;rs62062268;rs62062269;rs62062270;rs75534191	NA	0
66	17:44101262-44101671	17:44289000-44291000	0	EP	PsychENCODE	EP_links_oneway	intra	rs9468	NA	0
66	17:44101262-44101671	17:44369000-44371000	0	EP	PsychENCODE	EP_links_oneway	intra	rs9468	ENSG00000176681	1
66	17:44103210-44104657	17:44289000-44291000	0	EP	PsychENCODE	EP_links_oneway	intra	rs7687;rs17652748;rs75010486;rs16940806;chr17:44103927;chr17:44104278;rs2158257;chr17:44104410;rs17574228;chr17:44104576	NA	0
66	17:44103210-44104657	17:44369000-44371000	0	EP	PsychENCODE	EP_links_oneway	intra	rs7687;rs17652748;rs75010486;rs16940806;chr17:44103927;chr17:44104278;rs2158257;chr17:44104410;rs17574228;chr17:44104576	ENSG00000176681	1
66	17:44106201-44107061	17:44289000-44291000	0	EP	PsychENCODE	EP_links_oneway	intra	rs78681971;rs79772576;rs149028349;rs78229689	NA	0
66	17:44106201-44107061	17:44369000-44371000	0	EP	PsychENCODE	EP_links_oneway	intra	rs78681971;rs79772576;rs149028349;rs78229689	ENSG00000176681	1
66	17:44121591-44122046	17:44289000-44291000	0	EP	PsychENCODE	EP_links_oneway	intra	chr17:44121917	NA	0
66	17:44121591-44122046	17:44299000-44301000	0	EP	PsychENCODE	EP_links_oneway	intra	chr17:44121917	NA	0
66	17:44121591-44122046	17:44319000-44321000	0	EP	PsychENCODE	EP_links_oneway	intra	chr17:44121917	NA	0
4	1:99040000-99050000	1:99020000-99030000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs12748189	NA	0
6	1:147190000-147200000	1:147350000-147360000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs4950337;rs7528982	NA	0
8	2:62800000-62810000	2:63740000-63750000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs146274880	NA	0
8	2:62910000-62920000	2:62690000-62700000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs17577380;rs6744226	NA	0
8	2:62930000-62940000	2:62690000-62700000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs67789268	NA	0
8	2:62930000-62940000	2:62730000-62740000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs67789268	ENSG00000186889	1
8	2:62930000-62940000	2:62740000-62750000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs67789268	NA	0
8	2:62990000-63000000	2:62630000-62640000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs72807574	NA	0
8	2:62990000-63000000	2:62690000-62700000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs72807574	NA	0
8	2:62990000-63000000	2:63740000-63750000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs72807574	NA	0
8	2:63020000-63030000	2:62140000-62150000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs72888951	NA	0
8	2:63020000-63030000	2:63720000-63730000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs72888951	NA	0
8	2:63020000-63030000	2:63760000-63770000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs72888951	NA	0
8	2:63020000-63030000	2:63770000-63780000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs72888951	NA	0
8	2:63030000-63040000	2:63670000-63680000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs79203297;rs79891622;rs74346157;rs72807581;rs75092134;rs77945953;rs78995299	NA	0
8	2:63040000-63050000	2:62140000-62150000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs72807582;rs72807583;rs72807585	NA	0
8	2:63060000-63070000	2:63770000-63780000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs77623637	NA	0
10	2:159370000-159380000	2:159000000-159010000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs6744474;rs1110509;rs6730686;rs6743102;rs6734020;rs7421094	NA	0
10	2:159420000-159430000	2:159710000-159720000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs12052933;rs10174340;rs10933491;rs3771609;rs3771610;rs10933493;rs10187426;rs2190390;rs3821290;rs7577672;rs2214903	NA	0
10	2:159490000-159500000	2:159000000-159010000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs917242;rs2883862;rs2356140;rs2528635;rs2528636	NA	0
10	2:159540000-159550000	2:159030000-159040000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs757925	NA	0
12	2:202270000-202280000	2:201690000-201700000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs61655478;rs2249868	NA	0
12	2:202270000-202280000	2:202930000-202940000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs61655478;rs2249868	ENSG00000182329	1
12	2:202350000-202360000	2:203070000-203080000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs2540438;rs2714480	NA	0
16	3:157910000-157920000	3:157930000-157940000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs11717618;rs199913888;rs79990961	NA	0
19	4:132320000-132330000	4:131790000-131800000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs140616077;rs113484472;rs17051188	NA	0
19	4:132320000-132330000	4:133260000-133270000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs140616077;rs113484472;rs17051188	NA	0
20	4:171110000-171120000	4:172070000-172080000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs1717096	NA	0
22	5:92250000-92260000	5:92400000-92410000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs2635182	NA	0
22	5:92250000-92260000	5:92910000-92920000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs2635182	ENSG00000175745	1
23	5:104050000-104060000	5:103140000-103150000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs325546	NA	0
27	6:11720000-11730000	6:12010000-12020000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs2235419m;rs4713834;rs2294428;rs2294427	NA	0
27	6:11730000-11740000	6:12000000-12010000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs2294426;rs9348963;rs9366877;rs61243775;rs210894m;rs210894;rs2235418;rs932345;rs3215483;rs2235414;rs34106080	ENSG00000095951	1
28	6:15390000-15400000	6:15260000-15270000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs2282828	NA	0
29	6:16740000-16750000	6:16300000-16310000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs1144696;rs1144698;rs1144699;rs1150639;rs1144700	NA	0
29	6:16740000-16750000	6:16330000-16340000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs1144696;rs1144698;rs1144699;rs1150639;rs1144700	NA	0
29	6:16740000-16750000	6:16340000-16350000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs1144696;rs1144698;rs1144699;rs1150639;rs1144700	NA	0
29	6:16750000-16760000	6:16300000-16310000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs9367926;rs16879023;rs71706080;rs56192497;rs56374431;rs2301594;rs6924861m;rs6915310;rs1322599	NA	0
29	6:16750000-16760000	6:16330000-16340000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs9367926;rs16879023;rs71706080;rs56192497;rs56374431;rs2301594;rs6924861m;rs6915310;rs1322599	NA	0
29	6:16750000-16760000	6:16540000-16550000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs9367926;rs16879023;rs71706080;rs56192497;rs56374431;rs2301594;rs6924861m;rs6915310;rs1322599	NA	0
30	6:23730000-23740000	6:24100000-24110000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs12205526;rs7775069	NA	0
30	6:23900000-23910000	6:23030000-23040000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs507059	NA	0
31	6:29570000-29580000	6:29590000-29600000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs28359963;rs36073154;rs740883;rs740882;rs740881;rs29229;rs881284;rs29261;rs29230;rs29263;rs29262;rs29258;chr6:29577872;rs29259;rs29257;chr6:29579626;rs2057011;rs2057009	NA	0
31	6:29590000-29600000	6:29570000-29580000	0	HiC	PsychENCODE	Promoter_anchored_loops_oneway	intra	rs29245;rs29222;rs3025626;rs28359982;rs28359983;rs28359984;rs17178014;rs17184416;rs28359987;rs2021749;rs372488753	NA	0
