ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000153237	CCDC148	2	159027593	159313265	-1	protein_coding	130940	CCDC148	7.95012569570602e-19	0.1955271	37	18.21	26	2.04324e-06	0.000258034611618041	PsychENCODE_eQTLs	-	No	NA	9.304e-07	rs59566011;rs1548635	10
ENSG00000144283	PKP4	2	159313476	159539391	1	protein_coding	8502	PKP4	1.59819832523135e-05	NA	128	18.21	0	NA	NA	NA	NA	No	NA	9.304e-07	rs59566011;rs1548635	10
ENSG00000163331	DAPL1	2	159651829	159719293	1	protein_coding	92196	DAPL1	0.000268262509293928	0.152348471	1	5.536	0	NA	NA	NA	NA	No	NA	0.0002023	rs1548635	10
ENSG00000071909	MYO3B	2	171034655	171511681	1	protein_coding	140469	MYO3B	4.47146671165632e-20	0.017148496	2	0.848	0	NA	NA	NA	NA	No	NA	9.933e-06	rs71868489	11
ENSG00000240344	PPIL3	2	201735630	201754026	-1	protein_coding	53938	PPIL3	0.549646605195737	-0.112616458	0	0	26	7.6693e-07	2.87745e-18	PsychENCODE_eQTLs:GTEx/v8/Brain_Amygdala	+	No	NA	8.743e-06	rs7578456	12
ENSG00000003400	CASP10	2	202047604	202094129	1	protein_coding	843	CASP10	8.53789597425533e-12	-0.919769227	1	14.09	0	NA	NA	NA	NA	No	NA	0.0006032	rs7578456	12
ENSG00000064012	CASP8	2	202098166	202152434	1	protein_coding	841	CASP8	0.00484502421758434	0.88406034	65	14.09	95	3.6548e-15	9.19777e-25	GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9	+	No	NA	6.532e-06	rs7578456	12
ENSG00000155749	ALS2CR12	2	202152994	202222121	-1	protein_coding	130540	ALS2CR12	1.66284147135039e-10	0.133035954	87	16.86	80	3.14739e-15	1.00342e-20	PsychENCODE_eQTLs:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Substantia_nigra	+	No	NA	6.532e-06	rs7578456	12
ENSG00000115993	TRAK2	2	202241930	202316302	-1	protein_coding	66008	TRAK2	6.92274497111198e-10	-1.188062559	106	16.86	79	1.50925e-13	4.8995525779119e-11	PsychENCODE_eQTLs:GTEx/v8/Brain_Cerebellar_Hemisphere	-	No	NA	6.532e-06	rs7578456	12
ENSG00000082146	STRADB	2	202252581	202345569	1	protein_coding	55437	STRADB	0.669632058274396	-0.416272554	105	16.86	16	1.58407e-05	0.0418317	GTEx/v8/Brain_Spinal_cord_cervical_c-1	+	No	NA	6.532e-06	rs7578456	12
ENSG00000155754	ALS2CR11	2	202352148	202483901	-1	protein_coding	151254	ALS2CR11	7.66191254911719e-11	-0.306596885	41	16.86	41	4.70276e-07	6.68654987646217e-05	PsychENCODE_eQTLs	-	No	NA	8.743e-06	rs7578456	12
ENSG00000182329	AC079354.1	2	202937978	203062585	1	protein_coding	100652824	KIAA2012	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops_oneway	0.0002084	rs7578456	12
ENSG00000163618	CADPS	3	62384022	62861054	-1	protein_coding	8618	CADPS	0.0528164675314738	-0.181229533	9	14.37	0	NA	NA	NA	NA	No	NA	2.069e-07	rs1452075	14
ENSG00000168779	SHOX2	3	157814948	157824292	-1	protein_coding	6474	SHOX2	0.0852112280919416	0.382488989	12	17.6	0	NA	NA	NA	NA	No	NA	5.378e-05	rs200332011	16
ENSG00000174891	RSRC1	3	157823644	158263519	1	protein_coding	51319	RSRC1	3.41025677860813e-05	-0.589077789	108	18.12	64	3.65623e-11	2.82432e-07	GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia	+	No	NA	2.873e-06	rs200332011	16
ENSG00000118849	RARRES1	3	158414681	158450485	-1	protein_coding	5918	RARRES1	8.40651968753382e-07	0.243737299	0	0	90	2.43539e-08	4.27412309255858e-06	PsychENCODE_eQTLs:BRAINEAC/CRBL:BRAINEAC/FCTX:BRAINEAC/OCTX:BRAINEAC/aveALL	-	No	NA	1.97e-05	rs200332011	16
ENSG00000114279	FGF12	3	191857184	192485553	-1	protein_coding	2257	FGF12	0.114210585344935	0.094505286	1	1.604	0	NA	NA	NA	NA	No	NA	4.26e-06	rs79940520	17
ENSG00000138678	AGPAT9	4	84457067	84527028	1	protein_coding	84803	AGPAT9	3.03983008533795e-09	0.007125556	1	0.89	0	NA	NA	NA	NA	No	NA	8.507e-06	rs56054767m	18
ENSG00000198948	MFAP3L	4	170907748	170954182	-1	protein_coding	9848	MFAP3L	0.910529966045715	1.029906645	0	0	8	0.000280296	0.0204036981110189	PsychENCODE_eQTLs	-	No	NA	0.0001157	rs33966416	20
ENSG00000109576	AADAT	4	170981373	171012850	-1	protein_coding	51166	AADAT	0.250802295313827	NA	10	9.543	0	NA	NA	NA	NA	No	NA	0.002065	rs33966416	20
ENSG00000081189	MEF2C	5	88013975	88199922	-1	protein_coding	4208	MEF2C	0.00424617418418377	-2.662228962	8	19.19	0	NA	NA	NA	NA	No	NA	0.0001378	rs4916723	21
ENSG00000175745	NR2F1	5	92919043	92930321	1	protein_coding	7025	NR2F1	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops_oneway	1.937e-06	rs2635182	22
ENSG00000080709	KCNN2	5	113696642	113832337	1	protein_coding	3781	KCNN2	0.971048688574044	-0.855593733	4	4.404	0	NA	NA	NA	NA	No	NA	3.041e-06	rs13188074	24
ENSG00000037749	MFAP3	5	153418466	153600038	1	protein_coding	4238	MFAP3	0.00844477902532272	-0.539204801	96	17.51	0	NA	NA	NA	NA	No	NA	9.725e-06	rs34509057	25
ENSG00000164574	GALNT10	5	153570290	153800544	1	protein_coding	55568	GALNT10	0.000449260379215831	1.469543542	96	17.51	0	NA	NA	NA	NA	No	NA	9.725e-06	rs34509057	25
ENSG00000184347	SLIT3	5	168088745	168728133	-1	protein_coding	6586	SLIT3	0.991788383605727	0.185144009	1	1.146	0	NA	NA	NA	NA	No	NA	1.32e-06	chr5:168173526	26
ENSG00000111863	ADTRP	6	11712287	11807279	-1	protein_coding	84830	ADTRP	0.000702618266442128	0.431384017	28	12.19	0	NA	NA	NA	NA	No	NA	4.917e-07	rs210894m	27
ENSG00000095951	HIVEP1	6	12008995	12165232	1	protein_coding	3096	HIVEP1	0.999986917229393	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops_oneway	4.917e-07	rs210894m	27
ENSG00000008083	JARID2	6	15246527	15522252	1	protein_coding	3720	JARID2	0.999862193011047	-0.914235103	1	1.155	0	NA	NA	NA	NA	No	NA	7.786e-06	rs2282828	28
ENSG00000124788	ATXN1	6	16299343	16761722	-1	protein_coding	6310	ATXN1	0.398661149433984	-2.624973179	21	11.25	0	NA	NA	NA	NA	No	NA	1.765e-06	rs16879023	29
ENSG00000213886	UBD	6	29523292	29527702	-1	protein_coding	10537	UBD	0.0798957514124674	0.401530797	65	17.4	0	NA	NA	NA	NA	No	NA	1.694e-06	rs740883	31
ENSG00000204681	GABBR1	6	29523406	29601753	-1	protein_coding	2550	GABBR1	0.999969901472702	0.238892484	65	17.4	62	2.25707e-16	7.75187e-11	GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	+	No	NA	1.694e-06	rs740883	31
ENSG00000204657	OR2H2	6	29555683	29556745	1	protein_coding	7932	OR2H2	0.0899459247726437	0.69683603	65	17.4	0	NA	NA	NA	NA	No	NA	1.694e-06	rs740883	31
ENSG00000146278	PNRC1	6	89790470	89794879	1	protein_coding	10957	PNRC1	0.836159280405651	-0.37341115	5	2.518	0	NA	NA	NA	NA	No	NA	0.0002877	rs684502	32
ENSG00000154548	SRSF12	6	89805678	89827800	-1	protein_coding	135295	SRSF12	0.01623122038502	1.062158581	7	2.895	0	NA	NA	NA	NA	No	NA	9.71e-06	rs684502	32
ENSG00000146281	PM20D2	6	89855769	89875284	1	protein_coding	135293	PM20D2	0.00116674345055796	0.696022387	7	2.895	0	NA	NA	NA	NA	No	NA	9.71e-06	rs684502	32
ENSG00000146276	GABRR1	6	89887220	89940997	-1	protein_coding	2569	GABRR1	2.12253958201951e-07	-0.403717997	7	2.895	0	NA	NA	NA	NA	No	NA	9.71e-06	rs684502	32
ENSG00000111886	GABRR2	6	89966927	90025018	-1	protein_coding	2570	GABRR2	4.52031672010083e-07	-0.133334262	7	2.895	0	NA	NA	NA	NA	No	NA	9.71e-06	rs684502	32
ENSG00000112306	RPS12	6	133135580	133138703	1	protein_coding	6206	RPS12	0.827435141809626	0.479144793	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops_oneway	6.059e-05	rs150793912	34
ENSG00000118526	TCF21	6	134210276	134216691	1	protein_coding	6943	TCF21	0.80536994429277	0.400264301	14	9.812	0	NA	NA	NA	NA	No	NA	6.424e-06	rs150793912;rs13201465	34
ENSG00000028839	TBPL1	6	134273308	134311570	1	protein_coding	9519	TBPL1	0.879617094046	1.711296469	4	2.827	0	NA	NA	NA	NA	No	NA	6.424e-06	rs13201465;rs150793912	34
ENSG00000146411	SLC2A12	6	134309835	134373774	-1	protein_coding	154091	SLC2A12	0.0194084110413465	0.77929054	4	2.827	0	NA	NA	NA	NA	No	NA	6.424e-06	rs13201465;rs150793912	34
ENSG00000118514	ALDH8A1	6	135238528	135271260	-1	protein_coding	64577	ALDH8A1	9.45631299959995e-06	0.269937741	0	0	0	NA	NA	NA	NA	Yes	Hippocampus	1.638e-05	rs13201465;rs150793912	34
ENSG00000183166	CALN1	7	71244476	71912136	-1	protein_coding	83698	CALN1	0.153650290078419	1.041424886	60	14.06	34	7.99217e-06	0.000891477132968765	PsychENCODE_eQTLs	-	No	NA	4.017e-06	chr7:71618506	36
ENSG00000005483	KMT2E	7	104654626	104754808	1	protein_coding	55904	KMT2E	0.999999994702687	-0.608755693	5	4.878	0	NA	NA	NA	NA	Yes	Dorsolateral_Prefrontal_Cortex:Hippocampus	1.118e-07	rs35851667;rs111931861;rs111931861:rs35851667	37
ENSG00000135250	SRPK2	7	104751151	105039755	-1	protein_coding	6733	SRPK2	0.997504054449169	-0.650865281	11	8.296	0	NA	NA	NA	NA	No	NA	1.118e-07	rs35851667;rs111931861	37
ENSG00000221866	PLXNA4	7	131808091	132333447	-1	protein_coding	91584	PLXNA4	0.9999997021004	3.543998511	6	16.32	0	NA	NA	NA	NA	No	NA	9.005e-06	rs78298487	38
ENSG00000215372	ZNF705G	8	7213039	7243080	-1	protein_coding	100131980	ZNF705G	4.24856211732445e-09	1.240773795	0	0	141	7.44897577216237e-06	0.00823014447327278	BRAINEAC/PUTM	NA	No	NA	4.677e-06	rs2921036;rs12547493	39
ENSG00000198129	DEFB107B	8	7353368	7366833	1	protein_coding	503614	DEFB107B	NA	-0.203867911	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops_oneway	3.013e-05	rs2921036:rs12547493;rs2921036	39
ENSG00000215356	ZNF705B	8	7783859	7812271	1	protein_coding	100132396	ZNF705B	0.652541803539784	-1.251457693	0	0	141	7.44897577216237e-06	0.00823014447327278	BRAINEAC/PUTM	NA	No	NA	4.677e-06	rs2921036;rs12547493	39
ENSG00000268955	LRLE1	8	8046158	8046331	-1	protein_coding	NA	NA	NA	NA	3	1.132	0	NA	NA	NA	NA	No	NA	0.0001831	rs2921036	39
ENSG00000182319	SGK223	8	8175258	8244008	-1	protein_coding	157285	PRAG1	5.12369052262778e-20	NA	36	12.7	0	NA	NA	NA	NA	No	NA	3.013e-05	rs2921036;rs12547493	39
ENSG00000253958	CLDN23	8	8559448	8561616	1	protein_coding	137075	CLDN23	2.46842024128337e-05	1.939020665	59	16.03	7	0.000177991	0.0138618204003147	PsychENCODE_eQTLs	-	Yes	Promoter_anchored_loops_oneway	4.677e-06	rs12547493;rs2921036;rs10582665;rs2921036:rs12547493	39
ENSG00000147324	MFHAS1	8	8640864	8751155	-1	protein_coding	9258	MFHAS1	2.22820045783843e-05	0.9551839	138	16.03	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops_oneway	3.793e-06	rs12547493;rs2921036;rs17701675	39
ENSG00000104626	ERI1	8	8859657	8974256	1	protein_coding	90459	ERI1	0.000454685197816091	0.949360106	51	16.76	8	0.000101708	0.00854770069919144	PsychENCODE_eQTLs:BRAINEAC/MEDU	+	Yes	Promoter_anchored_loops_oneway:Hippocampus	1.819e-06	rs17701675;rs12547493;rs10582665;rs11249905;rs2921036:rs12547493	39
ENSG00000173281	PPP1R3B	8	8993765	9009084	-1	protein_coding	79660	PPP1R3B	0.0229191412335762	3.70852971	51	10.59	1	2.59696e-07	3.86275461302324e-05	PsychENCODE_eQTLs	-	No	NA	1.819e-06	rs17701675;rs10582665;rs12547493;rs11249905	39
ENSG00000253426	RP11-10A14.4	8	9009252	9025646	1	protein_coding	NA	NA	NA	NA	43	10.59	0	NA	NA	NA	NA	No	NA	1.819e-06	rs17701675;rs10582665;rs12547493;rs11249905	39
ENSG00000173273	TNKS	8	9413424	9639856	1	protein_coding	8658	TNKS	0.777115954184058	1.637267498	0	0	27	0.000113743	0.0094193393090471	PsychENCODE_eQTLs	+	No	NA	5.211e-06	rs12547493;rs2921036;rs10582665	39
ENSG00000175806	MSRA	8	9911778	10286401	1	protein_coding	4482	MSRA	1.69976100303061e-06	0.601529643	0	0	9	9.24844e-06	2.59203e-07	PsychENCODE_eQTLs:GTEx/v8/Brain_Spinal_cord_cervical_c-1	-	No	NA	7.821e-06	rs35095634;rs17701675;rs10582665	39:40
ENSG00000184647	PRSS55	8	10383056	10411676	1	protein_coding	203074	PRSS55	1.2335690846368e-08	0.255257421	1	1.667	35	2.28916e-07	2.50111e-21	BRAINEAC/CRBL:GTEx/v8/Brain_Cerebellar_Hemisphere	+	No	NA	4.795e-07	rs7001281;rs6992403;rs12679529;rs7821914;rs7004551;rs2736342	40
ENSG00000183638	RP1L1	8	10463859	10569697	-1	protein_coding	94137	RP1L1	NA	1.244966111	160	22	118	2.2044e-09	4.48492356959733e-07	PsychENCODE_eQTLs	-	No	NA	1.065e-08	rs7001281;rs4841410;rs7823200;rs35095634;rs10099100;rs877116;rs3808604;rs6992403;rs12679529;rs36223617;rs7821914;rs7004551;rs2736342	40
ENSG00000171060	C8orf74	8	10530147	10558103	1	protein_coding	203076	C8orf74	1.01040579381024e-11	0.574612154	134	17.85	0	NA	NA	NA	NA	No	NA	1.065e-08	rs7001281;rs4841410;rs7823200;rs35095634;rs10099100;rs877116;rs3808604	40
ENSG00000171056	SOX7	8	10581278	10697357	-1	protein_coding	83595	SOX7	0.131241610927833	0.638029508	301	22	45	2.70016e-07	0.000133217	GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cortex	+	No	NA	1.065e-08	rs7001281;rs4841410;rs7823200;rs35095634;rs10099100;rs877116;rs3808604;rs755856;rs6992403;rs12679529;rs7004551;rs36223617	40
ENSG00000258724	SOX7	8	10582909	10697357	-1	protein_coding	83595	SOX7	NA	0.638029508	301	22	0	NA	NA	NA	NA	No	NA	1.065e-08	rs7001281;rs4841410;rs7823200;rs35095634;rs10099100;rs877116;rs3808604;rs755856;rs6992403;rs12679529;rs7004551;rs36223617	40
ENSG00000254093	PINX1	8	10622473	10697394	-1	protein_coding	54984	PINX1	4.9427916851122e-09	-0.063935492	296	22	279	4.36706e-13	1.35830300681117e-10	PsychENCODE_eQTLs:GTEx/v8/Brain_Cerebellum	-	No	NA	1.065e-08	rs4841410;rs7823200;rs35095634;rs10099100;rs877116;rs3808604;rs755856;rs6992403;rs12679529;rs7004551;rs36223617;rs7821914;rs2736342	40
ENSG00000171044	XKR6	8	10753555	11058875	-1	protein_coding	286046	XKR6	0.956776701241562	0.199430911	248	22	20	2.53409e-05	0.00251114625642235	PsychENCODE_eQTLs	-	No	NA	1.284e-07	rs877116;rs3808604;rs35095634;rs755856;rs6992403;rs12679529;rs7004551;rs36223617;rs7821914;rs2736342	40
ENSG00000215346	AF131215.5	8	10983980	10987745	-1	protein_coding	NA	NA	NA	NA	4	5.978	32	7.3284e-05	0.00641814852415726	PsychENCODE_eQTLs	-	No	NA	8.066e-07	rs7004551;rs36223617;rs6992403;rs12679529;rs7821914;rs2736342	40
ENSG00000104643	MTMR9	8	11141925	11185646	1	protein_coding	66036	MTMR9	0.210866148969841	1.579316819	3	5.097	3	0.000593306	0.0380073072725049	PsychENCODE_eQTLs	+	Yes	Promoter_anchored_loops_oneway	1.284e-07	rs2736342;rs877116;rs877116:rs3808604:rs6992403;rs12679529;rs7004551:rs6992403:rs6992403;rs12679529:rs36223617:rs6992403;rs36223617:rs6992403;rs7004551;rs36223617:rs755856:rs7821914;rs7004551:rs7821914:rs12679529;rs7821914	40
ENSG00000177710	SLC35G5	8	11188397	11189717	1	protein_coding	83650	SLC35G5	0.0274846347511103	0.517541682	3	5.097	1	0.000625537	0.0396771472429682	PsychENCODE_eQTLs	+	No	NA	0.0002304	rs2736342;rs12679529;rs7821914;rs7004551	40
ENSG00000184608	C8orf12	8	11225911	11296167	1	protein_coding	83656	C8orf12	0.311268910075586	NA	36	15.33	0	NA	NA	NA	NA	No	NA	3.33e-06	rs2736342	40
ENSG00000154319	FAM167A	8	11278972	11332224	-1	protein_coding	83648	FAM167A	0.000192997889999534	0.911877562	53	15.33	306	7.13183e-16	2.85723148707907e-13	PsychENCODE_eQTLs:BRAINEAC/WHMT:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	+	No	NA	2.492e-07	rs2736342;rs4841410;rs35095634;rs877116;rs36223617;rs6992403;rs12679529;rs7004551;rs7821914;rs755856	40
ENSG00000136573	BLK	8	11351510	11422113	1	protein_coding	640	BLK	2.86165843035065e-07	-0.27366236	80	15.33	0	NA	NA	NA	NA	No	NA	3.33e-06	rs2736342	40
ENSG00000136574	GATA4	8	11534468	11617511	1	protein_coding	2626	GATA4	0.802155487205778	0.664928994	21	7.794	0	NA	NA	NA	NA	No	NA	1.559e-05	rs2736342	40
ENSG00000255046	RP11-297N6.4	8	11655437	11660077	-1	protein_coding	NA	NA	NA	NA	0	0	4	0.000478748	0.0318868846676404	PsychENCODE_eQTLs	+	No	NA	1.135e-06	rs6992403;rs12679529;rs7004551;rs36223617;rs7821914	40
ENSG00000164733	CTSB	8	11700033	11726957	-1	protein_coding	1508	CTSB	NA	4.805364716	0	0	102	4.96415e-12	1.38732353340248e-09	PsychENCODE_eQTLs:GTEx/v8/Brain_Putamen_basal_ganglia	+	No	NA	2.492e-07	rs877116;rs6992403;rs12679529;rs7004551;rs36223617;rs7821914;rs2736342;rs755856	40
ENSG00000205884	DEFB136	8	11831446	11832108	-1	protein_coding	613210	DEFB136	0.0340000990200746	0.27516663	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops_oneway	0.0001726	rs2736342	40
ENSG00000205883	DEFB135	8	11839830	11842099	1	protein_coding	613209	DEFB135	1.31655071986469e-06	0.082643215	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops_oneway	0.0001726	rs2736342	40
ENSG00000205882	DEFB134	8	11850692	11853821	-1	protein_coding	613211	DEFB134	0.0322373411768572	0.812797609	0	0	78	2.8628e-09	2.03752e-10	PsychENCODE_eQTLs:BRAINEAC/OCTX:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia	-	No	NA	3.876e-06	rs2736342;rs7004551	40
ENSG00000255098	RP11-481A20.11	8	11870545	11873043	-1	protein_coding	NA	NA	NA	NA	0	0	53	3.23974e-12	9.23653556533989e-10	PsychENCODE_eQTLs	-	No	NA	3.876e-06	rs7004551;rs2736342	40
ENSG00000223443	USP17L2	8	11994677	11996586	-1	protein_coding	377630	USP17L2	0.0138587263197935	0.872639173	0	0	55	1.10894258945551e-05	0.000964347146745132	PsychENCODE_eQTLs:BRAINEAC/CRBL:BRAINEAC/FCTX:BRAINEAC/aveALL	+	No	NA	5.57e-06	rs7004551;rs2736342	40
ENSG00000186523	FAM86B1	8	12039605	12051642	-1	protein_coding	85002	FAM86B1	0.744460341331624	-0.801740789	0	0	19	8.95522e-06	0.00439870198210108	PsychENCODE_eQTLs:GTEx/v8/Brain_Caudate_basal_ganglia	-	No	NA	1.253e-05	rs2736342	40
ENSG00000164808	SPIDR	8	48173167	48648868	1	protein_coding	23514	SPIDR	1.0712969110463e-14	-0.15190412	2	0.81	0	NA	NA	NA	NA	No	NA	NA	rs183563276m	41
ENSG00000253729	PRKDC	8	48685669	48872743	-1	protein_coding	5591	PRKDC	1	NA	3	10.54	0	NA	NA	NA	NA	No	NA	0.00938	rs183563276m	41
ENSG00000104738	MCM4	8	48872745	48890720	1	protein_coding	4173	MCM4	0.000301842295939908	-0.172056655	3	10.54	0	NA	NA	NA	NA	No	NA	0.00938	rs183563276m	41
ENSG00000169139	UBE2V2	8	48920960	48977268	1	protein_coding	7336	UBE2V2	0.10887932581952	-1.633405201	3	10.54	0	NA	NA	NA	NA	No	NA	0.00938	rs183563276m	41
ENSG00000147488	ST18	8	53023399	53373519	-1	protein_coding	9705	ST18	0.999009547757882	-1.38360865	12	17.2	0	NA	NA	NA	NA	No	NA	1.018e-06	rs10666089m;rs369274441	42
ENSG00000196711	FAM150A	8	53446597	53478067	-1	protein_coding	389658	FAM150A	0.00184552053934947	-0.943769164	6	9.439	0	NA	NA	NA	NA	No	NA	8.842e-06	rs10666089m;rs369274441	42
ENSG00000153317	ASAP1	8	131064353	131455906	-1	protein_coding	50807	ASAP1	0.999983091251179	0.592920078	2	2.175	0	NA	NA	NA	NA	No	NA	2.05e-06	rs868104;rs10110094	44
ENSG00000226490	AC138647.1	8	142524738	142528837	1	protein_coding	NA	NA	NA	NA	9	8.665	0	NA	NA	NA	NA	No	NA	2.587e-06	rs11787216	45
ENSG00000181790	BAI1	8	143530791	143626370	1	protein_coding	575	BAI1	0.999875311419222	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops_oneway	7.927e-06	rs11787216	45
ENSG00000135046	ANXA1	9	75766673	75785309	1	protein_coding	301	ANXA1	0.000442370109951712	0.218836669	3	5.181	0	NA	NA	NA	NA	No	NA	0.0005418	rs28729902	46
ENSG00000148484	RSU1	10	16632610	16859527	-1	protein_coding	6251	RSU1	0.0477656793520055	1.436546813	1	19.15	0	NA	NA	NA	NA	No	NA	3.131e-07	rs45595836	47
ENSG00000151033	LYZL2	10	30900718	30918691	-1	protein_coding	119180	LYZL2	3.25974148951073e-06	0.156305648	1	1.009	0	NA	NA	NA	NA	No	NA	9.823e-06	rs201179706	48
ENSG00000181915	ADO	10	64564516	64568238	1	protein_coding	84890	ADO	0.745072785344825	-0.496919278	7	6.014	1	2.48076e-06	0.000308091344413066	PsychENCODE_eQTLs	+	No	NA	9.431e-06	rs113764414	49
ENSG00000122877	EGR2	10	64571756	64679660	-1	protein_coding	1959	EGR2	0.619543204134511	-0.491267292	7	6.014	0	NA	NA	NA	NA	No	NA	9.431e-06	rs113764414	49
ENSG00000148572	NRBF2	10	64893050	64914783	1	protein_coding	29982	NRBF2	0.0821062414135336	-0.409712515	0	0	1	5.29319e-08	8.81477329699572e-06	PsychENCODE_eQTLs	+	No	NA	1.876e-06	rs141319505	50
ENSG00000165476	REEP3	10	65281123	65384883	1	protein_coding	221035	REEP3	0.0129812993547476	1.398422055	2	18.71	0	NA	NA	NA	NA	No	NA	1.876e-06	rs141319505	50
ENSG00000166228	PCBD1	10	72642037	72648541	-1	protein_coding	5092	PCBD1	0.00109441294418619	0.123271787	1	0.283	0	NA	NA	NA	NA	No	NA	1.004e-06	rs78827416	51
ENSG00000166670	MMP10	11	102641234	102651359	-1	protein_coding	4319	MMP10	1.98053112611486e-13	0.34814229	29	13.56	0	NA	NA	NA	NA	No	NA	4.211e-06	rs644552	53
