GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
14	rs1452075	3	62471086	rs6774533	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Highest math class taken (MTAG)	811,539 European ancestry individuals	NA	3p14.2	Intergenic	CADPS			ENSG00000163618			rs6774533-T	rs6774533	0	6774533	intron_variant	0	0.6952	6E-11	10.221848749616356	(MTAG)	0.0118	[0.0083-0.0153] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
14	rs1452075	3	62471086	rs6774533	2019-02-06	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Educational attainment (years of education)	approximately 455,000 European ancestry individuals	NA	3p14.2		CADPS			ENSG00000163618			rs6774533-?	rs6774533	0	6774533	intron_variant	0	NR	6E-9	8.221848749616356				NR [~ 8900000] (imputed)	N
14	rs1452075	3	62471282	rs9968060	2018-07-09	29691431	Tikkanen E	2018-04-24	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/29691431	Biological Insights Into Muscular Strength: Genetic Findings in the UK Biobank.	Hand grip strength	334,825 British ancestry individuals	NA	3p14.2	CADPS	CADPS			ENSG00000163618			rs9968060-T	rs9968060	0	9968060	intron_variant	0	0.6456	5E-8	7.301029995663981		0.002	[0.0014-0.0026] unit decrease	Affymetrix [15275733] (imputed)	N
14	rs1452075	3	62481063	rs1452075	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism and educational attainment (MTAG)	18,381 European ancestry autism cases, 27,969 European ancestry controls, 328,917 individuals with educational attainment data	NA	3p14.2		CADPS			ENSG00000163618			rs1452075-T	rs1452075	0	1452075	intron_variant	0	0.721	3E-9	8.522878745280337		0.061	[0.041-0.081] unit increase	Illumina [NR] (imputed)	N
14	rs1452075	3	62481063	rs1452075	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism spectrum disorder	18,381 European ancestry cases, 27,969 European ancestry controls	2,119 European ancestry cases, 142,379 European ancestry controls	3p14.2	CADPS	CADPS			ENSG00000163618			rs1452075-T	rs1452075	0	1452075	intron_variant	0	0.721	6E-7	6.221848749616356		1.074	[NR]	Illumina [9112387] (imputed)	N
17	rs79940520	3	191838169	rs79940520	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism spectrum disorder	18,381 European ancestry cases, 27,969 European ancestry controls	2,119 European ancestry cases, 142,379 European ancestry controls	3q28	Intergenic	RN7SKP222 - FGF12	ENSG00000222583	ENSG00000114279		26944	19015	rs79940520-G	rs79940520	0	79940520	intergenic_variant	1	0.141	9E-6	5.045757490560675		1.0893246	[NR]	Illumina [9112387] (imputed)	N
21	rs4916723	5	87792844	rs6452792	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	Number of sexual partners	370,711 European ancestry individuals	NA	5q14.3	MEF2C	AC091826.2			ENSG00000271904			rs6452792-A	rs6452792	0	6452792	intron_variant	0	0.5138	7E-16	15.154901959985743		0.019112729	[0.014-0.024] unit decrease	Affymetrix [11515109] (imputed)	N
21	rs4916723	5	87822672	rs2194027	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Worry	348,219 European ancestry individuals	NA	5q14.3	NR	LINC00461			ENSG00000245526			rs2194027-A	rs2194027	0	2194027	intron_variant	0	NR	6E-10	9.221848749616356		0.01502	[0.01-0.02] unit decrease	Affymetrix [10847151] (imputed)	N
21	rs4916723	5	87854395	rs4916723	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Neuroticism	449,484 European ancestry individuals	NA	5q14.3	NR	LINC00461			ENSG00000245526			rs4916723-A	rs4916723	0	4916723	intron_variant	0	NR	2E-8	7.698970004336019		5.609	z score increase	Affymetrix [10847151] (imputed)	N
21	rs4916723	5	87854395	rs4916723	2019-01-29	30610198	Soler Artigas M	2019-01-04	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30610198	Attention-deficit/hyperactivity disorder and lifetime cannabis use: genetic overlap and causality.	Attention deficit hyperactivity disorder or cannabis use	18,345 European ancestry ADHD cases, 14,374 European ancestry cannabis use cases, 50,410 European ancestry controls	NA	5q14.3	LINC00461	LINC00461			ENSG00000245526			rs4916723-C	rs4916723	0	4916723	intron_variant	0	NR	2E-9	8.698970004336019		1.0752687	[1.05-1.1]	NR [5009020] (imputed)	N
21	rs4916723	5	87854395	rs4916723	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	Alcohol consumption (drinks per week)	414,343 European ancestry individuals	NA	5q14.3	MEF2C	LINC00461			ENSG00000245526			rs4916723-A	rs4916723	0	4916723	intron_variant	0	0.5775	1E-11	11.0		0.015352736	[0.011-0.02] unit increase	Affymetrix [11514936] (imputed)	N
21	rs4916723	5	87854395	rs4916723	2019-03-28	30643251	Liu M	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643251	Association studies of up to 1.2 million individuals yield new insights into the genetic etiology of tobacco and alcohol use.	Alcohol consumption (drinks per week)	up to 941,280 European ancestry individuals	NA	5q14.3	NR	LINC00461			ENSG00000245526			rs4916723-C	rs4916723	0	4916723	intron_variant	0	0.416	2E-11	10.698970004336019		0.009952257	[0.0071-0.0129] unit decrease	NR [~ 10000000] (imputed)	N
21	rs4916723	5	87854395	rs4916723	2019-04-09	30478444	Demontis D	2018-11-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30478444	Discovery of the first genome-wide significant risk loci for attention deficit/hyperactivity disorder.	Attention deficit hyperactivity disorder	19,099 European ancestry cases, 72 non-European ancestry cases, 1,012 Han Chinese ancestry cases, 34,194 European ancestry controls, 72 non-European ancestry controls, 925 Han Chinese ancestry controls	5,085 Icelandic ancestry cases, 5,857 cases, 131,122 Icelandic ancestry controls, 70,393 controls	5q14.3	LINC00461	LINC00461			ENSG00000245526			rs4916723-C	rs4916723	0	4916723	intron_variant	0	NR	7E-7	6.154901959985743		1.025	NR	Affymetrix, Illumina, Perlegen [8047421] (imputed)	N
21	rs4916723	5	87854395	rs4916723	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism spectrum disorder	18,381 European ancestry cases, 27,969 European ancestry controls	2,119 European ancestry cases, 142,379 European ancestry controls	5q14.3	Intergenic	LINC00461			ENSG00000245526			rs4916723-C	rs4916723	0	4916723	intron_variant	0	0.428	3E-6	5.522878745280337		1.0626993	[NR]	Illumina [9112387] (imputed)	N
22	rs2635182	5	92255166	rs2635182	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism spectrum disorder	18,381 European ancestry cases, 27,969 European ancestry controls	2,119 European ancestry cases, 142,379 European ancestry controls	5q14.3	Intergenic	LINC02058			ENSG00000248528			rs2635182-T	rs2635182	0	2635182	intron_variant	0	0.466	5E-7	6.301029995663981		1.067	[NR]	Illumina [9112387] (imputed)	N
23	rs325485	5	103886213	rs6869862	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Depressive symptoms	1,067,913 European ancestry individuals	228,033 European ancestry individuals	5q21.2	NR	AC099520.1			ENSG00000251574			rs6869862-G	rs6869862	0	6869862	intron_variant	0	0.48220959412122	4E-12	11.397940008672037		0.00857653	[0.0061-0.011] unit increase	NR [NR]	N
23	rs325485	5	103914543	rs13177365	2018-02-27	29292387	Turley P	2018-01-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29292387	Multi-trait analysis of genome-wide association summary statistics using MTAG.	Depressive symptoms (MTAG)	354,862 European ancestry individuals	NA	5q21.2	NR	AC099520.1			ENSG00000251574			rs13177365-G	rs13177365	0	13177365	intron_variant	0	0.4971	7E-12	11.154901959985743		0.0146	[0.01-0.019] unit increase	Illumina [NR] (imputed)	N
23	rs325485	5	103931707	rs2431112	2018-07-09	29691431	Tikkanen E	2018-04-24	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/29691431	Biological Insights Into Muscular Strength: Genetic Findings in the UK Biobank.	Hand grip strength	223,215 British ancestry individuals	111,610 British ancestry individuals	5q21.2	RP11-6N13.1	AC099520.1			ENSG00000251574			rs2431112-A	rs2431112	0	2431112	intron_variant	0	0.44	2E-13	12.698970004336019		0.002	[0.0014-0.0026] unit decrease	Affymetrix [15275733] (imputed)	N
23	rs325485	5	103931707	rs2431112	2018-07-09	29691431	Tikkanen E	2018-04-24	Sci Rep	www.ncbi.nlm.nih.gov/pubmed/29691431	Biological Insights Into Muscular Strength: Genetic Findings in the UK Biobank.	Hand grip strength	334,825 British ancestry individuals	NA	5q21.2	NUDT12	AC099520.1			ENSG00000251574			rs2431112-A	rs2431112	0	2431112	intron_variant	0	0.4407	2E-15	14.698970004336019		0.002	[0.0014-0.0026] unit decrease	Affymetrix [15275733] (imputed)	N
23	rs325485	5	103939674	rs12187898	2018-02-27	29292387	Turley P	2018-01-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29292387	Multi-trait analysis of genome-wide association summary statistics using MTAG.	Subjective well-being (MTAG)	388,538 European ancestry individuals	NA	5q21.2	NR	AC099520.1			ENSG00000251574			rs12187898-C	rs12187898	0	12187898	intron_variant	0	0.4809	2E-12	11.698970004336019		0.0129	[0.0094-0.0164] unit decrease	Illumina [NR] (imputed)	N
23	rs325485	5	103944020	rs254024	2019-03-18	30643258	Karlsson Linner R	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643258	Genome-wide association analyses of risk tolerance and risky behaviors in over 1 million individuals identify hundreds of loci and shared genetic influences.	Risk-taking tendency (4-domain principal component model)	315,894 European ancestry individuals	NA	5q21.2	NUDT12	AC099520.1			ENSG00000251574			rs254024-T	rs254024	0	254024	intron_variant	0	0.4364	1E-11	11.0		0.01754736	[0.012-0.023] unit increase	Affymetrix [~ 11515000] (imputed)	N
23	rs325485	5	103947205	rs2447828	2019-02-06	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Body mass index	approximately 458,000 European ancestry individuals	NA	5q21.2		AC099520.1			ENSG00000251574			rs2447828-?	rs2447828	0	2447828	intron_variant	0	NR	5E-10	9.301029995663981				NR [~ 8900000] (imputed)	N
23	rs325485	5	103956516	rs171697	2018-02-27	29292387	Turley P	2018-01-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29292387	Multi-trait analysis of genome-wide association summary statistics using MTAG.	Neuroticism (MTAG)	168,105 European ancestry individuals	NA	5q21.2	NR	AC099520.1			ENSG00000251574			rs171697-C	rs171697	0	171697	intron_variant	0	0.6686	2E-9	8.698970004336019		0.018	[0.012-0.024] unit decrease	Illumina [NR] (imputed)	N
23	rs325485	5	103956516	rs171697	2018-10-19	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (years of education)	up to 1,131,881 European ancestry individuals	NA	5q21.2		AC099520.1			ENSG00000251574			rs171697-C	rs171697	0	171697	intron_variant	0	0.6712	5E-19	18.30102999566398		0.0133	[0.01-0.016] unit increase	Affymetrix, Illumina [10000000] (imputed)	N
23	rs325485	5	103956516	rs171697	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (MTAG)	1,311,438 European ancestry individuals	NA	5q21.2	Intergenic	AC099520.1			ENSG00000251574			rs171697-C	rs171697	0	171697	intron_variant	0	0.6712	1E-22	22.0	(MTAG)	0.0137	[0.011-0.016] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
23	rs325485	5	103956516	rs171697	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Highest math class taken	430,445 European ancestry individuals	NA	5q21.2	Intergenic	AC099520.1			ENSG00000251574			rs171697-C	rs171697	0	171697	intron_variant	0	0.6666	5E-14	13.301029995663981		0.0181	[0.013-0.023] unit increase	Affymetrix, Illumina [10000000] (imputed)	N
23	rs325485	5	103956516	rs171697	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Highest math class taken (MTAG)	811,539 European ancestry individuals	NA	5q21.2	Intergenic	AC099520.1			ENSG00000251574			rs171697-C	rs171697	0	171697	intron_variant	0	0.6666	1E-21	21.0	(MTAG)	0.0168	[0.013-0.02] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
23	rs325485	5	103956516	rs171697	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Well-being spectrum (multivariate analysis)	2,083,151 European ancestry individuals	287,239 European ancestry individuals	5q21.2	NR	AC099520.1			ENSG00000251574			rs171697-G	rs171697	0	171697	intron_variant	0	0.335880658967291	1E-15	15.0		0.007777971	[0.0059-0.0097] unit increase	NR [NR]	N
23	rs325485	5	103995368	rs325485	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism spectrum disorder	18,381 European ancestry cases, 27,969 European ancestry controls	2,119 European ancestry cases, 142,379 European ancestry controls	5q21.2	Intergenic	AC099520.1			ENSG00000251574			rs325485-A	rs325485	0	325485	intron_variant	0	0.378	2E-6	5.698970004336019		1.066	[NR]	Illumina [9112387] (imputed)	N
23	rs325485	5	104007433	rs325501	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Life satisfaction	80,852 European ancestry individuals	NA	5q21.2	NR	AC099520.1			ENSG00000251574			rs325501-C	rs325501	0	325501	intron_variant	0	0.578692005870663	9E-9	8.045757490560675		0.008452519	[0.0056-0.0113] unit decrease	NR [NR]	N
23	rs325485	5	104007433	rs325501	2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Positive affect	410,603 European ancestry individuals	NA	5q21.2	NR	AC099520.1			ENSG00000251574			rs325501-C	rs325501	0	325501	intron_variant	0	0.578692005870663	2E-9	8.698970004336019		0.0076786946	[0.0052-0.0102] unit decrease	NR [NR]	N
23	rs325485	5	104012303	rs325506	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism and major depressive disorder (MTAG)	18,381 European ancestry autism cases, 27,969 European ancestry controls, 111,902 major depression cases, 312,113 controls	NA	5q21.2		AC099520.1			ENSG00000251574			rs325506-C	rs325506	0	325506	intron_variant	0	0.423	3E-11	10.522878745280337		0.057	[0.039-0.075] unit increase	Illumina [NR] (imputed)	N
24	rs13188074	5	113801423	rs13188074	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism spectrum disorder	18,381 European ancestry cases, 27,969 European ancestry controls	2,119 European ancestry cases, 142,379 European ancestry controls	5q22.3	Intergenic	KCNN2			ENSG00000080709			rs13188074-A	rs13188074	0	13188074	intron_variant	0	0.391	2E-6	5.698970004336019		1.064	[NR]	Illumina [9112387] (imputed)	N
25	rs34509057	5	153601262	rs34509057	2019-04-10	30804558	Grove J	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804558	Identification of common genetic risk variants for autism spectrum disorder.	Autism spectrum disorder	18,381 European ancestry cases, 27,969 European ancestry controls	2,119 European ancestry cases, 142,379 European ancestry controls	5q33.2	Intergenic	GALNT10			ENSG00000164574			rs34509057-A	rs34509057	0	34509057	intron_variant	0	0.226	6E-6	5.221848749616356		1.071	[NR]	Illumina [9112387] (imputed)	N
25	rs34509057	5	153640046	rs2434529	2017-08-16	28540026	Anney RJL	2017-05-22	Mol Autism	www.ncbi.nlm.nih.gov/pubmed/28540026	Meta-analysis of GWAS of over 16,000 individuals with autism spectrum disorder highlights a novel locus at 10q24.32 and a significant overlap with schizophrenia.	Autism spectrum disorder or schizophrenia	schizophrenia cases and controls (see Ripke, 2014), up to 6,197 European ancestry ASD cases, up to 7,377 European ancestry controls, up to 1,190 ASD cases, up to 1,190 controls	NA	5q33.2	GALNT10	GALNT10			ENSG00000164574			rs2434529-?	rs2434529	0	2434529	intron_variant	0		3E-9	8.522878745280337		1.0752687	[1.05-1.1]	Affymetrix, Illumina [NR]	N
25	rs34509057	5	153669155	rs6883228	2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling tense	371,318 European ancestry individuals	NA	5q33.2	GALNT10	GALNT10			ENSG00000164574			rs6883228-C	rs6883228	0	6883228	intron_variant	0	0.183199	4E-8	7.3979400086720375		5.5	z score increase	NR [10847151] (imputed)	N
27	rs210894m	6	11730082	rs2294426	2013-05-14	21618603	Beaty TH	2011-05-26	Genet Epidemiol	www.ncbi.nlm.nih.gov/pubmed/21618603	Evidence for gene-environment interaction in a genome wide study of nonsyndromic cleft palate.	Orofacial clefts (maternal alcohol consumption interaction)	272 European ancestry trios, 259 Asian ancestry trios, 19 African ancestry or other ancestry trios	NA	6p24.1	C6orf105	ADTRP			ENSG00000111863			rs2294426-?	rs2294426	0	2294426	intron_variant	0	NR	4E-8	7.3979400086720375	(Maternal alcohol consumption, 1df)			Illumina [~ 498000]	N
