region2	reg_region	type	tissue/cell	genes
17:42850000-42860000	17:42851537-42854314	prom	E068	NA
17:42850000-42860000	17:42851537-42854314	prom	E070	NA
17:42850000-42860000	17:42851537-42854314	prom	E072	NA
17:42850000-42860000	17:42851537-42854314	prom	E074	NA
17:42850000-42860000	17:42851537-42854314	prom	E082	NA
17:42900000-42910000	17:42904783-42904918	prom	E082	NA
17:42900000-42910000	17:42905294-42906112	prom	E053	NA
17:42900000-42910000	17:42905294-42906112	prom	E054	NA
17:42900000-42910000	17:42905294-42906112	prom	E082	NA
17:42900000-42910000	17:42906114-42908922	prom	E053	ENSG00000182963
17:42900000-42910000	17:42906114-42908922	prom	E054	ENSG00000182963
17:42900000-42910000	17:42906114-42908922	prom	E068	ENSG00000182963
17:42900000-42910000	17:42906114-42908922	prom	E069	ENSG00000182963
17:42900000-42910000	17:42906114-42908922	prom	E070	ENSG00000182963
17:42900000-42910000	17:42906114-42908922	prom	E071	ENSG00000182963
17:42900000-42910000	17:42906114-42908922	prom	E073	ENSG00000182963
17:42900000-42910000	17:42906114-42908922	prom	E082	ENSG00000182963
17:42989000-42991000	17:42988079-42989216	prom	E068	NA
17:42989000-42991000	17:42988079-42989216	prom	E069	NA
17:42989000-42991000	17:42988079-42989216	prom	E071	NA
17:42989000-42991000	17:42988079-42989216	prom	E073	NA
17:42989000-42991000	17:42988079-42989216	prom	E074	NA
17:42989000-42991000	17:42989532-42989582	prom	E067	NA
17:42989000-42991000	17:42989532-42989582	prom	E068	NA
17:42989000-42991000	17:42989532-42989582	prom	E069	NA
17:42989000-42991000	17:42989532-42989582	prom	E071	NA
17:42989000-42991000	17:42989532-42989582	prom	E072	NA
17:42989000-42991000	17:42989532-42989582	prom	E074	NA
17:42989000-42991000	17:42989794-42989856	prom	E067	NA
17:42989000-42991000	17:42989794-42989856	prom	E068	NA
17:42989000-42991000	17:42989794-42989856	prom	E069	NA
17:42989000-42991000	17:42989794-42989856	prom	E071	NA
17:42989000-42991000	17:42989794-42989856	prom	E072	NA
17:42989000-42991000	17:42989794-42989856	prom	E074	NA
17:42989000-42991000	17:42990288-42990392	prom	E067	NA
17:42989000-42991000	17:42990288-42990392	prom	E068	NA
17:42989000-42991000	17:42990288-42990392	prom	E069	NA
17:42989000-42991000	17:42990288-42990392	prom	E071	NA
17:42989000-42991000	17:42990288-42990392	prom	E072	NA
17:42989000-42991000	17:42990288-42990392	prom	E073	NA
17:42989000-42991000	17:42990288-42990392	prom	E074	NA
17:42989000-42991000	17:42990551-42990601	prom	E067	NA
17:42989000-42991000	17:42990551-42990601	prom	E068	NA
17:42989000-42991000	17:42990551-42990601	prom	E069	NA
17:42989000-42991000	17:42990551-42990601	prom	E071	NA
17:42989000-42991000	17:42990551-42990601	prom	E072	NA
17:42989000-42991000	17:42990551-42990601	prom	E073	NA
17:42989000-42991000	17:42990551-42990601	prom	E074	NA
17:42989000-42991000	17:42990551-42990601	prom	E082	NA
17:42989000-42991000	17:42990623-42990808	prom	E067	NA
17:42989000-42991000	17:42990623-42990808	prom	E068	NA
17:42989000-42991000	17:42990623-42990808	prom	E069	NA
17:42989000-42991000	17:42990623-42990808	prom	E070	NA
17:42989000-42991000	17:42990623-42990808	prom	E071	NA
17:42989000-42991000	17:42990623-42990808	prom	E072	NA
17:42989000-42991000	17:42990623-42990808	prom	E073	NA
17:42989000-42991000	17:42990623-42990808	prom	E074	NA
17:42989000-42991000	17:42990623-42990808	prom	E082	NA
17:42989000-42991000	17:42990878-42990932	prom	E067	NA
17:42989000-42991000	17:42990878-42990932	prom	E068	NA
17:42989000-42991000	17:42990878-42990932	prom	E069	NA
17:42989000-42991000	17:42990878-42990932	prom	E070	NA
17:42989000-42991000	17:42990878-42990932	prom	E071	NA
17:42989000-42991000	17:42990878-42990932	prom	E072	NA
17:42989000-42991000	17:42990878-42990932	prom	E073	NA
17:42989000-42991000	17:42990878-42990932	prom	E074	NA
17:42989000-42991000	17:42990878-42990932	prom	E082	NA
17:42990000-43000000	17:42990288-42990392	prom	E067	NA
17:42990000-43000000	17:42990288-42990392	prom	E068	NA
17:42990000-43000000	17:42990288-42990392	prom	E069	NA
17:42990000-43000000	17:42990288-42990392	prom	E071	NA
17:42990000-43000000	17:42990288-42990392	prom	E072	NA
17:42990000-43000000	17:42990288-42990392	prom	E073	NA
17:42990000-43000000	17:42990288-42990392	prom	E074	NA
17:42990000-43000000	17:42990551-42990601	prom	E067	NA
17:42990000-43000000	17:42990551-42990601	prom	E068	NA
17:42990000-43000000	17:42990551-42990601	prom	E069	NA
17:42990000-43000000	17:42990551-42990601	prom	E071	NA
17:42990000-43000000	17:42990551-42990601	prom	E072	NA
17:42990000-43000000	17:42990551-42990601	prom	E073	NA
17:42990000-43000000	17:42990551-42990601	prom	E074	NA
17:42990000-43000000	17:42990551-42990601	prom	E082	NA
17:42990000-43000000	17:42990623-42990808	prom	E067	NA
17:42990000-43000000	17:42990623-42990808	prom	E068	NA
17:42990000-43000000	17:42990623-42990808	prom	E069	NA
17:42990000-43000000	17:42990623-42990808	prom	E070	NA
17:42990000-43000000	17:42990623-42990808	prom	E071	NA
17:42990000-43000000	17:42990623-42990808	prom	E072	NA
17:42990000-43000000	17:42990623-42990808	prom	E073	NA
17:42990000-43000000	17:42990623-42990808	prom	E074	NA
17:42990000-43000000	17:42990623-42990808	prom	E082	NA
17:42990000-43000000	17:42990878-42990932	prom	E067	NA
17:42990000-43000000	17:42990878-42990932	prom	E068	NA
17:42990000-43000000	17:42990878-42990932	prom	E069	NA
17:42990000-43000000	17:42990878-42990932	prom	E070	NA
17:42990000-43000000	17:42990878-42990932	prom	E071	NA
17:42990000-43000000	17:42990878-42990932	prom	E072	NA
17:42990000-43000000	17:42990878-42990932	prom	E073	NA
17:42990000-43000000	17:42990878-42990932	prom	E074	NA
17:42990000-43000000	17:42990878-42990932	prom	E082	NA
17:42990000-43000000	17:42991021-42991152	prom	E067	NA
17:42990000-43000000	17:42991021-42991152	prom	E068	NA
17:42990000-43000000	17:42991021-42991152	prom	E069	NA
17:42990000-43000000	17:42991021-42991152	prom	E070	NA
17:42990000-43000000	17:42991021-42991152	prom	E071	NA
17:42990000-43000000	17:42991021-42991152	prom	E072	NA
17:42990000-43000000	17:42991021-42991152	prom	E073	NA
17:42990000-43000000	17:42991021-42991152	prom	E074	NA
17:42990000-43000000	17:42991021-42991152	prom	E082	NA
17:42990000-43000000	17:42991518-42991644	prom	E053	NA
17:42990000-43000000	17:42991518-42991644	prom	E067	NA
17:42990000-43000000	17:42991518-42991644	prom	E068	NA
17:42990000-43000000	17:42991518-42991644	prom	E069	NA
17:42990000-43000000	17:42991518-42991644	prom	E070	NA
17:42990000-43000000	17:42991518-42991644	prom	E071	NA
17:42990000-43000000	17:42991518-42991644	prom	E072	NA
17:42990000-43000000	17:42991518-42991644	prom	E073	NA
17:42990000-43000000	17:42991518-42991644	prom	E074	NA
17:42990000-43000000	17:42991518-42991644	prom	E082	NA
17:42990000-43000000	17:42991660-42991799	prom	E053	NA
17:42990000-43000000	17:42991660-42991799	prom	E067	NA
17:42990000-43000000	17:42991660-42991799	prom	E068	NA
17:42990000-43000000	17:42991660-42991799	prom	E069	NA
17:42990000-43000000	17:42991660-42991799	prom	E070	NA
17:42990000-43000000	17:42991660-42991799	prom	E071	NA
17:42990000-43000000	17:42991660-42991799	prom	E072	NA
17:42990000-43000000	17:42991660-42991799	prom	E073	NA
17:42990000-43000000	17:42991660-42991799	prom	E074	NA
17:42990000-43000000	17:42991660-42991799	prom	E082	NA
17:42990000-43000000	17:42991874-42991914	prom	E053	NA
17:42990000-43000000	17:42991874-42991914	prom	E067	NA
17:42990000-43000000	17:42991874-42991914	prom	E068	NA
17:42990000-43000000	17:42991874-42991914	prom	E069	NA
17:42990000-43000000	17:42991874-42991914	prom	E070	NA
17:42990000-43000000	17:42991874-42991914	prom	E071	NA
17:42990000-43000000	17:42991874-42991914	prom	E072	NA
17:42990000-43000000	17:42991874-42991914	prom	E073	NA
17:42990000-43000000	17:42991874-42991914	prom	E074	NA
17:42990000-43000000	17:42991874-42991914	prom	E082	NA
17:42990000-43000000	17:42992184-42992254	prom	E053	NA
17:42990000-43000000	17:42992184-42992254	prom	E067	NA
17:42990000-43000000	17:42992184-42992254	prom	E068	NA
17:42990000-43000000	17:42992184-42992254	prom	E069	NA
17:42990000-43000000	17:42992184-42992254	prom	E070	NA
17:42990000-43000000	17:42992184-42992254	prom	E071	NA
17:42990000-43000000	17:42992184-42992254	prom	E072	NA
17:42990000-43000000	17:42992184-42992254	prom	E073	NA
17:42990000-43000000	17:42992184-42992254	prom	E074	NA
17:42990000-43000000	17:42992184-42992254	prom	E082	NA
17:42990000-43000000	17:42992337-42992987	prom	E053	NA
17:42990000-43000000	17:42992337-42992987	prom	E067	NA
17:42990000-43000000	17:42992337-42992987	prom	E068	NA
17:42990000-43000000	17:42992337-42992987	prom	E069	NA
17:42990000-43000000	17:42992337-42992987	prom	E070	NA
17:42990000-43000000	17:42992337-42992987	prom	E071	NA
17:42990000-43000000	17:42992337-42992987	prom	E073	NA
17:42990000-43000000	17:42992337-42992987	prom	E074	NA
17:42990000-43000000	17:42992337-42992987	prom	E082	NA
17:43120000-43130000	17:43127644-43129125	prom	E053	ENSG00000136448
17:43120000-43130000	17:43127644-43129125	prom	E054	ENSG00000136448
17:43120000-43130000	17:43127644-43129125	prom	E067	ENSG00000136448
17:43120000-43130000	17:43127644-43129125	prom	E068	ENSG00000136448
17:43120000-43130000	17:43127644-43129125	prom	E069	ENSG00000136448
17:43120000-43130000	17:43127644-43129125	prom	E070	ENSG00000136448
17:43120000-43130000	17:43127644-43129125	prom	E071	ENSG00000136448
17:43120000-43130000	17:43127644-43129125	prom	E072	ENSG00000136448
17:43120000-43130000	17:43127644-43129125	prom	E073	ENSG00000136448
17:43120000-43130000	17:43127644-43129125	prom	E074	ENSG00000136448
17:43120000-43130000	17:43127644-43129125	prom	E081	ENSG00000136448
17:43120000-43130000	17:43127644-43129125	prom	E082	ENSG00000136448
17:43120000-43130000	17:43129224-43129281	prom	E053	ENSG00000136448
17:43120000-43130000	17:43129224-43129281	prom	E054	ENSG00000136448
17:43120000-43130000	17:43129224-43129281	prom	E067	ENSG00000136448
17:43120000-43130000	17:43129224-43129281	prom	E068	ENSG00000136448
17:43120000-43130000	17:43129224-43129281	prom	E069	ENSG00000136448
17:43120000-43130000	17:43129224-43129281	prom	E070	ENSG00000136448
17:43120000-43130000	17:43129224-43129281	prom	E071	ENSG00000136448
17:43120000-43130000	17:43129224-43129281	prom	E072	ENSG00000136448
17:43120000-43130000	17:43129224-43129281	prom	E073	ENSG00000136448
17:43120000-43130000	17:43129224-43129281	prom	E074	ENSG00000136448
17:43120000-43130000	17:43129224-43129281	prom	E082	ENSG00000136448
17:43220000-43230000	17:43223658-43227957	prom	E053	ENSG00000186834
17:43220000-43230000	17:43223658-43227957	prom	E054	ENSG00000186834
17:43220000-43230000	17:43223658-43227957	prom	E067	ENSG00000186834
17:43220000-43230000	17:43223658-43227957	prom	E068	ENSG00000186834
17:43220000-43230000	17:43223658-43227957	prom	E069	ENSG00000186834
17:43220000-43230000	17:43223658-43227957	prom	E070	ENSG00000186834
17:43220000-43230000	17:43223658-43227957	prom	E071	ENSG00000186834
17:43220000-43230000	17:43223658-43227957	prom	E072	ENSG00000186834
17:43220000-43230000	17:43223658-43227957	prom	E073	ENSG00000186834
17:43220000-43230000	17:43223658-43227957	prom	E074	ENSG00000186834
17:43220000-43230000	17:43223658-43227957	prom	E081	ENSG00000186834
17:43220000-43230000	17:43223658-43227957	prom	E082	ENSG00000186834
17:43240000-43250000	17:43237472-43240331	prom	E053	ENSG00000168517
17:43240000-43250000	17:43237472-43240331	prom	E054	ENSG00000168517
17:43240000-43250000	17:43237472-43240331	prom	E067	ENSG00000168517
17:43240000-43250000	17:43237472-43240331	prom	E068	ENSG00000168517
17:43240000-43250000	17:43237472-43240331	prom	E069	ENSG00000168517
17:43240000-43250000	17:43237472-43240331	prom	E070	ENSG00000168517
17:43240000-43250000	17:43237472-43240331	prom	E071	ENSG00000168517
17:43240000-43250000	17:43237472-43240331	prom	E072	ENSG00000168517
17:43240000-43250000	17:43237472-43240331	prom	E073	ENSG00000168517
17:43240000-43250000	17:43237472-43240331	prom	E074	ENSG00000168517
17:43240000-43250000	17:43237472-43240331	prom	E081	ENSG00000168517
17:43240000-43250000	17:43237472-43240331	prom	E082	ENSG00000168517
17:43300000-43310000	17:43299428-43300876	prom	E067	NA
17:43300000-43310000	17:43299428-43300876	prom	E068	NA
17:43300000-43310000	17:43299428-43300876	prom	E069	NA
17:43300000-43310000	17:43299428-43300876	prom	E071	NA
17:43300000-43310000	17:43299428-43300876	prom	E072	NA
17:43300000-43310000	17:43299428-43300876	prom	E082	NA
17:43500000-43510000	17:43507859-43509970	prom	E067	NA
17:43500000-43510000	17:43507859-43509970	prom	E068	NA
17:43500000-43510000	17:43507859-43509970	prom	E072	NA
17:43500000-43510000	17:43507859-43509970	prom	E074	NA
17:43500000-43510000	17:43507859-43509970	prom	E082	NA
17:43509000-43511000	17:43507859-43509970	prom	E067	NA
17:43509000-43511000	17:43507859-43509970	prom	E068	NA
17:43509000-43511000	17:43507859-43509970	prom	E072	NA
17:43509000-43511000	17:43507859-43509970	prom	E074	NA
17:43509000-43511000	17:43507859-43509970	prom	E082	NA
17:43560000-43570000	17:43567347-43567421	prom	E053	NA
17:43560000-43570000	17:43567347-43567421	prom	E054	NA
17:43560000-43570000	17:43567347-43567421	prom	E067	NA
17:43560000-43570000	17:43567347-43567421	prom	E068	NA
17:43560000-43570000	17:43567347-43567421	prom	E069	NA
17:43560000-43570000	17:43567347-43567421	prom	E070	NA
17:43560000-43570000	17:43567347-43567421	prom	E071	NA
17:43560000-43570000	17:43567347-43567421	prom	E072	NA
17:43560000-43570000	17:43567347-43567421	prom	E073	NA
17:43560000-43570000	17:43567347-43567421	prom	E074	NA
17:43560000-43570000	17:43567347-43567421	prom	E082	NA
17:43560000-43570000	17:43567497-43567561	prom	E053	NA
17:43560000-43570000	17:43567497-43567561	prom	E054	NA
17:43560000-43570000	17:43567497-43567561	prom	E067	NA
17:43560000-43570000	17:43567497-43567561	prom	E068	NA
17:43560000-43570000	17:43567497-43567561	prom	E069	NA
17:43560000-43570000	17:43567497-43567561	prom	E070	NA
17:43560000-43570000	17:43567497-43567561	prom	E071	NA
17:43560000-43570000	17:43567497-43567561	prom	E072	NA
17:43560000-43570000	17:43567497-43567561	prom	E073	NA
17:43560000-43570000	17:43567497-43567561	prom	E074	NA
17:43560000-43570000	17:43567497-43567561	prom	E082	NA
17:43560000-43570000	17:43567609-43567761	prom	E053	ENSG00000225190
17:43560000-43570000	17:43567609-43567761	prom	E054	ENSG00000225190
17:43560000-43570000	17:43567609-43567761	prom	E067	ENSG00000225190
17:43560000-43570000	17:43567609-43567761	prom	E068	ENSG00000225190
17:43560000-43570000	17:43567609-43567761	prom	E069	ENSG00000225190
17:43560000-43570000	17:43567609-43567761	prom	E070	ENSG00000225190
17:43560000-43570000	17:43567609-43567761	prom	E071	ENSG00000225190
17:43560000-43570000	17:43567609-43567761	prom	E072	ENSG00000225190
17:43560000-43570000	17:43567609-43567761	prom	E073	ENSG00000225190
17:43560000-43570000	17:43567609-43567761	prom	E074	ENSG00000225190
17:43560000-43570000	17:43567609-43567761	prom	E082	ENSG00000225190
17:43560000-43570000	17:43567842-43567920	prom	E053	ENSG00000225190
17:43560000-43570000	17:43567842-43567920	prom	E054	ENSG00000225190
17:43560000-43570000	17:43567842-43567920	prom	E067	ENSG00000225190
17:43560000-43570000	17:43567842-43567920	prom	E068	ENSG00000225190
17:43560000-43570000	17:43567842-43567920	prom	E069	ENSG00000225190
17:43560000-43570000	17:43567842-43567920	prom	E070	ENSG00000225190
17:43560000-43570000	17:43567842-43567920	prom	E071	ENSG00000225190
17:43560000-43570000	17:43567842-43567920	prom	E072	ENSG00000225190
17:43560000-43570000	17:43567842-43567920	prom	E073	ENSG00000225190
17:43560000-43570000	17:43567842-43567920	prom	E074	ENSG00000225190
17:43560000-43570000	17:43567842-43567920	prom	E082	ENSG00000225190
17:43560000-43570000	17:43568012-43568229	prom	E053	ENSG00000225190
17:43560000-43570000	17:43568012-43568229	prom	E054	ENSG00000225190
17:43560000-43570000	17:43568012-43568229	prom	E067	ENSG00000225190
17:43560000-43570000	17:43568012-43568229	prom	E068	ENSG00000225190
17:43560000-43570000	17:43568012-43568229	prom	E069	ENSG00000225190
17:43560000-43570000	17:43568012-43568229	prom	E070	ENSG00000225190
17:43560000-43570000	17:43568012-43568229	prom	E071	ENSG00000225190
17:43560000-43570000	17:43568012-43568229	prom	E072	ENSG00000225190
17:43560000-43570000	17:43568012-43568229	prom	E073	ENSG00000225190
17:43560000-43570000	17:43568012-43568229	prom	E074	ENSG00000225190
17:43560000-43570000	17:43568012-43568229	prom	E082	ENSG00000225190
17:43560000-43570000	17:43568269-43568361	prom	E053	ENSG00000225190
17:43560000-43570000	17:43568269-43568361	prom	E054	ENSG00000225190
17:43560000-43570000	17:43568269-43568361	prom	E067	ENSG00000225190
17:43560000-43570000	17:43568269-43568361	prom	E068	ENSG00000225190
17:43560000-43570000	17:43568269-43568361	prom	E069	ENSG00000225190
17:43560000-43570000	17:43568269-43568361	prom	E070	ENSG00000225190
17:43560000-43570000	17:43568269-43568361	prom	E071	ENSG00000225190
17:43560000-43570000	17:43568269-43568361	prom	E072	ENSG00000225190
17:43560000-43570000	17:43568269-43568361	prom	E073	ENSG00000225190
17:43560000-43570000	17:43568269-43568361	prom	E074	ENSG00000225190
17:43560000-43570000	17:43568269-43568361	prom	E082	ENSG00000225190
17:43560000-43570000	17:43568533-43568690	prom	E053	NA
17:43560000-43570000	17:43568533-43568690	prom	E054	NA
17:43560000-43570000	17:43568533-43568690	prom	E067	NA
17:43560000-43570000	17:43568533-43568690	prom	E068	NA
17:43560000-43570000	17:43568533-43568690	prom	E069	NA
17:43560000-43570000	17:43568533-43568690	prom	E070	NA
17:43560000-43570000	17:43568533-43568690	prom	E071	NA
17:43560000-43570000	17:43568533-43568690	prom	E072	NA
17:43560000-43570000	17:43568533-43568690	prom	E073	NA
17:43560000-43570000	17:43568533-43568690	prom	E074	NA
17:43560000-43570000	17:43568533-43568690	prom	E082	NA
17:43560000-43570000	17:43568817-43568901	prom	E053	NA
17:43560000-43570000	17:43568817-43568901	prom	E054	NA
17:43560000-43570000	17:43568817-43568901	prom	E067	NA
17:43560000-43570000	17:43568817-43568901	prom	E070	NA
17:43560000-43570000	17:43568817-43568901	prom	E071	NA
17:43560000-43570000	17:43568817-43568901	prom	E082	NA
17:43660000-43670000	17:43660611-43663001	prom	E053	NA
17:43660000-43670000	17:43660611-43663001	prom	E054	NA
17:43660000-43670000	17:43660611-43663001	prom	E067	NA
17:43660000-43670000	17:43660611-43663001	prom	E068	NA
17:43660000-43670000	17:43660611-43663001	prom	E069	NA
17:43660000-43670000	17:43660611-43663001	prom	E070	NA
17:43660000-43670000	17:43660611-43663001	prom	E071	NA
17:43660000-43670000	17:43660611-43663001	prom	E072	NA
17:43660000-43670000	17:43660611-43663001	prom	E073	NA
17:43660000-43670000	17:43660611-43663001	prom	E074	NA
17:43660000-43670000	17:43660611-43663001	prom	E081	NA
17:43660000-43670000	17:43660611-43663001	prom	E082	NA
17:43660000-43670000	17:43663150-43663354	prom	E053	NA
17:43660000-43670000	17:43663150-43663354	prom	E054	NA
17:43660000-43670000	17:43663150-43663354	prom	E067	NA
17:43660000-43670000	17:43663150-43663354	prom	E068	NA
17:43660000-43670000	17:43663150-43663354	prom	E069	NA
17:43660000-43670000	17:43663150-43663354	prom	E070	NA
17:43660000-43670000	17:43663150-43663354	prom	E071	NA
17:43660000-43670000	17:43663150-43663354	prom	E072	NA
17:43660000-43670000	17:43663150-43663354	prom	E073	NA
17:43660000-43670000	17:43663150-43663354	prom	E074	NA
17:43660000-43670000	17:43663150-43663354	prom	E082	NA
17:43660000-43670000	17:43663577-43663747	prom	E053	NA
17:43660000-43670000	17:43663577-43663747	prom	E054	NA
17:43660000-43670000	17:43663577-43663747	prom	E068	NA
17:43660000-43670000	17:43663577-43663747	prom	E069	NA
17:43660000-43670000	17:43663577-43663747	prom	E070	NA
17:43660000-43670000	17:43663577-43663747	prom	E071	NA
17:43660000-43670000	17:43663577-43663747	prom	E073	NA
17:43660000-43670000	17:43663577-43663747	prom	E082	NA
17:43660000-43670000	17:43663911-43663978	prom	E054	NA
17:43969000-43971000	17:43970771-43973890	prom	E053	ENSG00000186868
17:43969000-43971000	17:43970771-43973890	prom	E054	ENSG00000186868
17:43969000-43971000	17:43970771-43973890	prom	E067	ENSG00000186868
17:43969000-43971000	17:43970771-43973890	prom	E068	ENSG00000186868
17:43969000-43971000	17:43970771-43973890	prom	E069	ENSG00000186868
17:43969000-43971000	17:43970771-43973890	prom	E070	ENSG00000186868
17:43969000-43971000	17:43970771-43973890	prom	E071	ENSG00000186868
17:43969000-43971000	17:43970771-43973890	prom	E072	ENSG00000186868
17:43969000-43971000	17:43970771-43973890	prom	E073	ENSG00000186868
17:43969000-43971000	17:43970771-43973890	prom	E074	ENSG00000186868
17:43969000-43971000	17:43970771-43973890	prom	E082	ENSG00000186868
17:43970000-43980000	17:43970771-43973890	prom	E053	ENSG00000186868
17:43970000-43980000	17:43970771-43973890	prom	E054	ENSG00000186868
17:43970000-43980000	17:43970771-43973890	prom	E067	ENSG00000186868
17:43970000-43980000	17:43970771-43973890	prom	E068	ENSG00000186868
17:43970000-43980000	17:43970771-43973890	prom	E069	ENSG00000186868
17:43970000-43980000	17:43970771-43973890	prom	E070	ENSG00000186868
17:43970000-43980000	17:43970771-43973890	prom	E071	ENSG00000186868
17:43970000-43980000	17:43970771-43973890	prom	E072	ENSG00000186868
17:43970000-43980000	17:43970771-43973890	prom	E073	ENSG00000186868
17:43970000-43980000	17:43970771-43973890	prom	E074	ENSG00000186868
17:43970000-43980000	17:43970771-43973890	prom	E082	ENSG00000186868
17:43970000-43980000	17:43974000-43974095	prom	E054	NA
17:43970000-43980000	17:43974000-43974095	prom	E067	NA
17:43970000-43980000	17:43974000-43974095	prom	E068	NA
17:43970000-43980000	17:43974000-43974095	prom	E069	NA
17:43970000-43980000	17:43974000-43974095	prom	E071	NA
17:43970000-43980000	17:43974000-43974095	prom	E072	NA
17:43970000-43980000	17:43974000-43974095	prom	E073	NA
17:43970000-43980000	17:43974000-43974095	prom	E074	NA
17:43970000-43980000	17:43974000-43974095	prom	E082	NA
17:43970000-43980000	17:43974148-43975127	prom	E067	NA
17:43970000-43980000	17:43974148-43975127	prom	E068	NA
17:43970000-43980000	17:43974148-43975127	prom	E069	NA
17:43970000-43980000	17:43974148-43975127	prom	E071	NA
17:43970000-43980000	17:43974148-43975127	prom	E072	NA
17:43970000-43980000	17:43974148-43975127	prom	E073	NA
17:43970000-43980000	17:43974148-43975127	prom	E074	NA
17:43970000-43980000	17:43974148-43975127	prom	E082	NA
17:44240001-44280000	17:44268429-44268484	prom	E053	NA
17:44240001-44280000	17:44268429-44268484	prom	E054	NA
17:44240001-44280000	17:44268429-44268484	prom	E067	NA
17:44240001-44280000	17:44268429-44268484	prom	E068	NA
17:44240001-44280000	17:44268429-44268484	prom	E069	NA
17:44240001-44280000	17:44268429-44268484	prom	E070	NA
17:44240001-44280000	17:44268429-44268484	prom	E071	NA
17:44240001-44280000	17:44268429-44268484	prom	E072	NA
17:44240001-44280000	17:44268429-44268484	prom	E073	NA
17:44240001-44280000	17:44268429-44268484	prom	E074	NA
17:44240001-44280000	17:44268429-44268484	prom	E081	NA
17:44240001-44280000	17:44268429-44268484	prom	E082	NA
17:44240001-44280000	17:44268495-44272881	prom	E053	NA
17:44240001-44280000	17:44268495-44272881	prom	E054	NA
17:44240001-44280000	17:44268495-44272881	prom	E067	NA
17:44240001-44280000	17:44268495-44272881	prom	E068	NA
17:44240001-44280000	17:44268495-44272881	prom	E069	NA
17:44240001-44280000	17:44268495-44272881	prom	E070	NA
17:44240001-44280000	17:44268495-44272881	prom	E071	NA
17:44240001-44280000	17:44268495-44272881	prom	E072	NA
17:44240001-44280000	17:44268495-44272881	prom	E073	NA
17:44240001-44280000	17:44268495-44272881	prom	E074	NA
17:44240001-44280000	17:44268495-44272881	prom	E081	NA
17:44240001-44280000	17:44268495-44272881	prom	E082	NA
17:44300000-44310000	17:44301466-44301533	prom	E068	NA
17:44300000-44310000	17:44301466-44301533	prom	E072	NA
17:44300000-44310000	17:44301466-44301533	prom	E082	NA
17:44300000-44310000	17:44301812-44301874	prom	E053	NA
17:44300000-44310000	17:44301812-44301874	prom	E054	NA
17:44300000-44310000	17:44301812-44301874	prom	E067	NA
17:44300000-44310000	17:44301812-44301874	prom	E068	NA
17:44300000-44310000	17:44301812-44301874	prom	E070	NA
17:44300000-44310000	17:44301812-44301874	prom	E072	NA
17:44300000-44310000	17:44301812-44301874	prom	E074	NA
17:44300000-44310000	17:44301812-44301874	prom	E082	NA
